ID,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
1,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/1,Parts per billion,25.869565,39,18,37,Parts per million,0.009208,0.024,9,20,Parts per billion,0.347826,1,0,1,Parts per million,0.552174,1.3,20,
2,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/1,Parts per billion,25.869565,39,18,37,Parts per million,0.009208,0.024,9,20,Parts per billion,0.347826,1,0,1,Parts per million,0.433333,0.9,23,10
3,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/1,Parts per billion,25.869565,39,18,37,Parts per million,0.009208,0.024,9,20,Parts per billion,0.371429,1,20,,Parts per million,0.552174,1.3,20,
4,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/1,Parts per billion,25.869565,39,18,37,Parts per million,0.009208,0.024,9,20,Parts per billion,0.371429,1,20,,Parts per million,0.433333,0.9,23,10
5,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/2,Parts per billion,29.913043,41,16,39,Parts per million,0.008417,0.022,8,19,Parts per billion,0.130435,1,6,1,Parts per million,0.404348,0.6,7,
6,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/2,Parts per billion,29.913043,41,16,39,Parts per million,0.008417,0.022,8,19,Parts per billion,0.130435,1,6,1,Parts per million,0.504167,1,0,11
7,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/2,Parts per billion,29.913043,41,16,39,Parts per million,0.008417,0.022,8,19,Parts per billion,0.128571,0.6,8,,Parts per million,0.404348,0.6,7,
8,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/2,Parts per billion,29.913043,41,16,39,Parts per million,0.008417,0.022,8,19,Parts per billion,0.128571,0.6,8,,Parts per million,0.504167,1,0,11
9,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/3,Parts per billion,25.913043,42,17,40,Parts per million,0.011708,0.03,9,25,Parts per billion,0.173913,1,17,1,Parts per million,0.365217,1,17,
10,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/3,Parts per billion,25.913043,42,17,40,Parts per million,0.011708,0.03,9,25,Parts per billion,0.173913,1,17,1,Parts per million,0.358333,0.7,23,8
11,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/3,Parts per billion,25.913043,42,17,40,Parts per million,0.011708,0.03,9,25,Parts per billion,0.171429,0.6,20,,Parts per million,0.365217,1,17,
12,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/3,Parts per billion,25.913043,42,17,40,Parts per million,0.011708,0.03,9,25,Parts per billion,0.171429,0.6,20,,Parts per million,0.358333,0.7,23,8
13,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/4,Parts per billion,35.217391,46,18,43,Parts per million,0.005542,0.015,9,13,Parts per billion,0.608696,2,18,3,Parts per million,0.578261,1.8,18,
14,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/4,Parts per billion,35.217391,46,18,43,Parts per million,0.005542,0.015,9,13,Parts per billion,0.608696,2,18,3,Parts per million,0.541667,1,23,11
15,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/4,Parts per billion,35.217391,46,18,43,Parts per million,0.005542,0.015,9,13,Parts per billion,0.642857,1.3,20,,Parts per million,0.578261,1.8,18,
16,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/4,Parts per billion,35.217391,46,18,43,Parts per million,0.005542,0.015,9,13,Parts per billion,0.642857,1.3,20,,Parts per million,0.541667,1,23,11
17,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/5,Parts per billion,37,47,18,44,Parts per million,0.006042,0.016,9,14,Parts per billion,0.652174,2,21,3,Parts per million,0.713043,1.8,21,
18,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/5,Parts per billion,37,47,18,44,Parts per million,0.006042,0.016,9,14,Parts per billion,0.652174,2,21,3,Parts per million,0.604167,1.3,23,15
19,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/5,Parts per billion,37,47,18,44,Parts per million,0.006042,0.016,9,14,Parts per billion,0.642857,1.6,23,,Parts per million,0.713043,1.8,21,
20,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/5,Parts per billion,37,47,18,44,Parts per million,0.006042,0.016,9,14,Parts per billion,0.642857,1.6,23,,Parts per million,0.604167,1.3,23,15
21,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/6,Parts per billion,46.434783,55,15,52,Parts per million,0.003583,0.009,8,8,Parts per billion,1.347826,2,5,3,Parts per million,1.065217,1.9,22,
22,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/6,Parts per billion,46.434783,55,15,52,Parts per million,0.003583,0.009,8,8,Parts per billion,1.347826,2,5,3,Parts per million,1.045833,1.4,0,16
23,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/6,Parts per billion,46.434783,55,15,52,Parts per million,0.003583,0.009,8,8,Parts per billion,1.314286,2,17,,Parts per million,1.065217,1.9,22,
24,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/6,Parts per billion,46.434783,55,15,52,Parts per million,0.003583,0.009,8,8,Parts per billion,1.314286,2,17,,Parts per million,1.045833,1.4,0,16
25,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/7,Parts per billion,52.26087,70,15,68,Parts per million,0.002833,0.007,7,6,Parts per billion,1.434783,2,5,3,Parts per million,1.321739,2.3,22,
26,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/7,Parts per billion,52.26087,70,15,68,Parts per million,0.002833,0.007,7,6,Parts per billion,1.434783,2,5,3,Parts per million,1.275,1.7,23,19
27,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/7,Parts per billion,52.26087,70,15,68,Parts per million,0.002833,0.007,7,6,Parts per billion,1.4,2,8,,Parts per million,1.321739,2.3,22,
28,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/7,Parts per billion,52.26087,70,15,68,Parts per million,0.002833,0.007,7,6,Parts per billion,1.4,2,8,,Parts per million,1.275,1.7,23,19
29,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/8,Parts per billion,42.608696,58,17,55,Parts per million,0.005375,0.014,9,12,Parts per billion,0.956522,2,0,3,Parts per million,1.021739,2.1,0,
30,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/8,Parts per billion,42.608696,58,17,55,Parts per million,0.005375,0.014,9,12,Parts per billion,0.956522,2,0,3,Parts per million,1.191667,2,1,23
31,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/8,Parts per billion,42.608696,58,17,55,Parts per million,0.005375,0.014,9,12,Parts per billion,0.885714,2,8,,Parts per million,1.021739,2.1,0,
32,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/8,Parts per billion,42.608696,58,17,55,Parts per million,0.005375,0.014,9,12,Parts per billion,0.885714,2,8,,Parts per million,1.191667,2,1,23
33,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/9,Parts per billion,29.826087,41,17,39,Parts per million,0.006583,0.017,9,14,Parts per billion,0.304348,1,0,1,Parts per million,0.456522,0.9,18,
34,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/9,Parts per billion,29.826087,41,17,39,Parts per million,0.006583,0.017,9,14,Parts per billion,0.304348,1,0,1,Parts per million,0.504167,1,0,11
35,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,2010/1/9,Parts per billion,29.826087,41,17,39,Parts per million,0.006583,0.017,9,14,Parts per billion,0.314286,1,23,,Parts per million,0.456522,0.9,18,
