Date,Nino 3,Label
1870-January-01,-1.35,LaNinaTemp
1871-January-01,-0.25,Cold
1872-January-01,-0.76,LaNinaTemp
1873-January-01,-0.95,LaNinaTemp
1874-January-01,-1.33,LaNinaTemp
1875-January-01,-0.77,LaNinaTemp
1876-January-01,-1.25,LaNinaTemp
1877-January-01,0.21,Warm
1878-January-01,2.57,NinoTemp
1879-January-01,-0.56,LaNinaTemp
1880-January-01,-1.01,LaNinaTemp
1881-January-01,0.11,Warm
1882-January-01,-0.61,LaNinaTemp
1883-January-01,-0.79,LaNinaTemp
1884-January-01,-0.33,Cold
1885-January-01,0.24,Warm
1886-January-01,-0.45,Cold
1887-January-01,-0.93,LaNinaTemp
1888-January-01,0.09,Warm
1889-January-01,2.02,NinoTemp
1890-January-01,-2.01,LaNinaTemp
1891-January-01,-0.42,Cold
1892-January-01,-0.46,Cold
1893-January-01,-1.57,LaNinaTemp
1894-January-01,-0.86,LaNinaTemp
1895-January-01,-0.72,LaNinaTemp
1896-January-01,0.38,Warm
1897-January-01,1.45,NinoTemp
1898-January-01,-0.48,Cold
1899-January-01,-0.56,LaNinaTemp
1900-January-01,1.4,NinoTemp
1901-January-01,0.46,Warm
1902-January-01,-0.1,Cold
1903-January-01,1.09,NinoTemp
1904-January-01,-0.53,LaNinaTemp
1905-January-01,0.66,NinoTemp
1906-January-01,0.91,NinoTemp
1907-January-01,-0.69,LaNinaTemp
1908-January-01,-0.3,Cold
1909-January-01,-0.18,Cold
1910-January-01,-0.99,LaNinaTemp
1911-January-01,-0.6,LaNinaTemp
1912-January-01,1.61,NinoTemp
1913-January-01,-0.03,Cold
1914-January-01,0.81,NinoTemp
1915-January-01,0.8,NinoTemp
1916-January-01,-0.43,Cold
1917-January-01,-1.62,LaNinaTemp
1918-January-01,-1.04,LaNinaTemp
1919-January-01,1.48,NinoTemp
1920-January-01,0.72,NinoTemp
1921-January-01,0.28,Warm
1922-January-01,-0.72,LaNinaTemp
1923-January-01,-0.47,Cold
1924-January-01,-0.03,Cold
1925-January-01,-0.92,LaNinaTemp
1926-January-01,1.49,NinoTemp
1927-January-01,0.05,Warm
1928-January-01,0.14,Warm
1929-January-01,-0.33,Cold
1930-January-01,-0.03,Cold
1931-January-01,1.58,NinoTemp
1932-January-01,-0.24,Cold
1933-January-01,-0.28,Cold
1934-January-01,-0.65,LaNinaTemp
1935-January-01,-0.52,LaNinaTemp
1936-January-01,0.56,NinoTemp
1937-January-01,-0.17,Cold
1938-January-01,-0.37,Cold
1939-January-01,-0.69,LaNinaTemp
1940-January-01,1.18,NinoTemp
1941-January-01,1.24,NinoTemp
1942-January-01,0.51,NinoTemp
1943-January-01,-0.89,LaNinaTemp
1944-January-01,-0.53,LaNinaTemp
1945-January-01,-0.48,Cold
1946-January-01,-0.7,LaNinaTemp
1947-January-01,0.23,Warm
1948-January-01,-0.12,Cold
1949-January-01,-0.74,LaNinaTemp
1950-January-01,-1.34,LaNinaTemp
1951-January-01,-0.72,LaNinaTemp
1952-January-01,0.43,Warm
1953-January-01,0.07,Warm
1954-January-01,-0.15,Cold
1955-January-01,-0.76,LaNinaTemp
1956-January-01,-1.3,LaNinaTemp
1957-January-01,-0.87,LaNinaTemp
1958-January-01,1.19,NinoTemp
1959-January-01,-0.02,Cold
1960-January-01,-0.07,Cold
1961-January-01,-0.34,Cold
1962-January-01,-0.17,Cold
1963-January-01,-0.37,Cold
1964-January-01,0.44,Warm
1965-January-01,-0.7,LaNinaTemp
1966-January-01,1.12,NinoTemp
1967-January-01,-0.49,Cold
1968-January-01,-1.16,LaNinaTemp
1969-January-01,0.37,Warm
1970-January-01,0.66,NinoTemp
1971-January-01,-1.31,LaNinaTemp
1972-January-01,-0.57,LaNinaTemp
1973-January-01,1.62,NinoTemp
1974-January-01,-1.58,LaNinaTemp
1975-January-01,-0.44,Cold
1976-January-01,-1.65,LaNinaTemp
1977-January-01,0.95,NinoTemp
1978-January-01,0.44,Warm
1979-January-01,-0.09,Cold
1980-January-01,0.42,Warm
1981-January-01,-0.74,LaNinaTemp
1982-January-01,0.2,Warm
1983-January-01,2.9,NinoTemp
1984-January-01,-0.61,LaNinaTemp
1985-January-01,-1.01,LaNinaTemp
1986-January-01,-0.82,LaNinaTemp
1987-January-01,1.04,NinoTemp
1988-January-01,0.51,NinoTemp
1989-January-01,-1.39,LaNinaTemp
1990-January-01,-0.27,Cold
1991-January-01,0.18,Warm
1992-January-01,1.39,NinoTemp
1993-January-01,-0.06,Cold
1994-January-01,-0.04,Cold
1995-January-01,0.84,NinoTemp
1996-January-01,-0.58,LaNinaTemp
1997-January-01,-0.7,LaNinaTemp
1998-January-01,3.03,NinoTemp
1999-January-01,-0.97,LaNinaTemp
2000-January-01,-1.71,LaNinaTemp
2001-January-01,-0.71,LaNinaTemp
2002-January-01,-0.49,Cold
2003-January-01,0.71,NinoTemp
2004-January-01,0.43,Warm
2005-January-01,0.28,Warm
2006-January-01,-0.9,LaNinaTemp
2007-January-01,0.63,NinoTemp
2008-January-01,-1.6,LaNinaTemp
2009-January-01,-0.62,LaNinaTemp
2010-January-01,1.1,NinoTemp
2011-January-01,-1.41,LaNinaTemp
2012-January-01,-0.73,LaNinaTemp
2013-January-01,-0.59,LaNinaTemp
2014-January-01,-0.27,Cold
2015-January-01,0.39,Warm
2016-January-01,2.64,NinoTemp
2017-January-01,-0.09,Cold
2018-January-01,-1.17,LaNinaTemp
1870-February-01,-1.2,LaNinaTemp
1871-February-01,-0.52,LaNinaTemp
1872-February-01,-0.74,LaNinaTemp
1873-February-01,-1.18,LaNinaTemp
1874-February-01,-1.4,LaNinaTemp
1875-February-01,-0.49,Cold
1876-February-01,-1.45,LaNinaTemp
1877-February-01,0.22,Warm
1878-February-01,2.49,NinoTemp
1879-February-01,-0.26,Cold
1880-February-01,-0.62,LaNinaTemp
1881-February-01,-0.05,Cold
1882-February-01,-0.74,LaNinaTemp
1883-February-01,-0.68,LaNinaTemp
1884-February-01,-0.23,Cold
1885-February-01,0.13,Warm
1886-February-01,-0.67,LaNinaTemp
1887-February-01,-1.27,LaNinaTemp
1888-February-01,0.27,Warm
1889-February-01,1.34,NinoTemp
1890-February-01,-1.69,LaNinaTemp
1891-February-01,-0.31,Cold
1892-February-01,-0.45,Cold
1893-February-01,-1.45,LaNinaTemp
1894-February-01,-0.94,LaNinaTemp
1895-February-01,-0.61,LaNinaTemp
1896-February-01,0.18,Warm
1897-February-01,1.06,NinoTemp
1898-February-01,-0.58,LaNinaTemp
1899-February-01,-0.59,LaNinaTemp
1900-February-01,1.35,NinoTemp
1901-February-01,0.03,Warm
1902-February-01,-0.08,Cold
1903-February-01,0.42,Warm
1904-February-01,-0.69,LaNinaTemp
1905-February-01,0.47,Warm
1906-February-01,0.55,NinoTemp
1907-February-01,-0.56,LaNinaTemp
1908-February-01,0.1,Warm
1909-February-01,-0.99,LaNinaTemp
1910-February-01,-0.58,LaNinaTemp
1911-February-01,-0.74,LaNinaTemp
1912-February-01,0.85,NinoTemp
1913-February-01,0.15,Warm
1914-February-01,0.67,NinoTemp
1915-February-01,0.46,Warm
1916-February-01,-0.95,LaNinaTemp
1917-February-01,-1.6,LaNinaTemp
1918-February-01,-0.95,LaNinaTemp
1919-February-01,1.02,NinoTemp
1920-February-01,0.63,NinoTemp
1921-February-01,-0.28,Cold
1922-February-01,-0.08,Cold
1923-February-01,-0.74,LaNinaTemp
1924-February-01,0.16,Warm
1925-February-01,-0.09,Cold
1926-February-01,1.08,NinoTemp
1927-February-01,0.34,Warm
1928-February-01,0.03,Warm
1929-February-01,-0.08,Cold
1930-February-01,-0.05,Cold
1931-February-01,1.19,NinoTemp
1932-February-01,-0.02,Cold
1933-February-01,-0.05,Cold
1934-February-01,-0.69,LaNinaTemp
1935-February-01,-0.65,LaNinaTemp
1936-February-01,0.37,Warm
1937-February-01,0.22,Warm
1938-February-01,0.01,Warm
1939-February-01,-0.91,LaNinaTemp
1940-February-01,1.28,NinoTemp
1941-February-01,1.29,NinoTemp
1942-February-01,0.2,Warm
1943-February-01,-1.03,LaNinaTemp
1944-February-01,0.12,Warm
1945-February-01,-0.32,Cold
1946-February-01,-0.65,LaNinaTemp
1947-February-01,-0.16,Cold
1948-February-01,0.32,Warm
1949-February-01,0.0,Cold
1950-February-01,-1.6,LaNinaTemp
1951-February-01,-0.43,Cold
1952-February-01,0.2,Warm
1953-February-01,0.24,Warm
1954-February-01,-0.12,Cold
1955-February-01,-0.68,LaNinaTemp
1956-February-01,-0.92,LaNinaTemp
1957-February-01,-0.31,Cold
1958-February-01,0.91,NinoTemp
1959-February-01,-0.03,Cold
1960-February-01,-0.37,Cold
1961-February-01,0.1,Warm
1962-February-01,-0.13,Cold
1963-February-01,-0.37,Cold
1964-February-01,0.03,Warm
1965-February-01,-0.36,Cold
1966-February-01,0.51,NinoTemp
1967-February-01,-0.42,Cold
1968-February-01,-1.32,LaNinaTemp
1969-February-01,0.32,Warm
1970-February-01,0.13,Warm
1971-February-01,-1.42,LaNinaTemp
1972-February-01,-0.32,Cold
1973-February-01,0.81,NinoTemp
1974-February-01,-1.19,LaNinaTemp
1975-February-01,-0.5,LaNinaTemp
1976-February-01,-1.02,LaNinaTemp
1977-February-01,0.61,NinoTemp
1978-February-01,0.23,Warm
1979-February-01,-0.2,Cold
1980-February-01,0.02,Warm
1981-February-01,-0.65,LaNinaTemp
1982-February-01,0.01,Warm
1983-February-01,2.44,NinoTemp
1984-February-01,-0.44,Cold
1985-February-01,-1.02,LaNinaTemp
1986-February-01,-0.54,LaNinaTemp
1987-February-01,0.98,NinoTemp
1988-February-01,0.09,Warm
1989-February-01,-0.79,LaNinaTemp
1990-February-01,0.14,Warm
1991-February-01,0.03,Warm
1992-February-01,1.21,NinoTemp
1993-February-01,0.24,Warm
1994-February-01,-0.29,Cold
1995-February-01,0.58,NinoTemp
1996-February-01,-0.53,LaNinaTemp
1997-February-01,-0.39,Cold
1998-February-01,2.5,NinoTemp
1999-February-01,-0.77,LaNinaTemp
2000-February-01,-1.15,LaNinaTemp
2001-February-01,-0.4,Cold
2002-February-01,-0.2,Cold
2003-February-01,0.28,Warm
2004-February-01,0.14,Warm
2005-February-01,-0.11,Cold
2006-February-01,-0.4,Cold
2007-February-01,0.0,Cold
2008-February-01,-1.25,LaNinaTemp
2009-February-01,-0.49,Cold
2010-February-01,0.79,NinoTemp
2011-February-01,-0.84,LaNinaTemp
2012-February-01,-0.14,Cold
2013-February-01,-0.45,Cold
2014-February-01,-0.65,LaNinaTemp
2015-February-01,0.16,Warm
2016-February-01,1.9,NinoTemp
2017-February-01,0.4,Warm
2018-February-01,-0.77,LaNinaTemp
1870-March-01,-0.76,LaNinaTemp
1871-March-01,-0.46,Cold
1872-March-01,-0.65,LaNinaTemp
1873-March-01,-1.51,LaNinaTemp
1874-March-01,-1.48,LaNinaTemp
1875-March-01,-0.66,LaNinaTemp
1876-March-01,-1.41,LaNinaTemp
1877-March-01,0.22,Warm
1878-March-01,1.17,NinoTemp
1879-March-01,-0.39,Cold
1880-March-01,-0.68,LaNinaTemp
1881-March-01,0.03,Warm
1882-March-01,-0.71,LaNinaTemp
1883-March-01,-0.54,LaNinaTemp
1884-March-01,0.07,Warm
1885-March-01,-0.07,Cold
1886-March-01,-0.71,LaNinaTemp
1887-March-01,-1.25,LaNinaTemp
1888-March-01,0.09,Warm
1889-March-01,0.73,NinoTemp
1890-March-01,-1.01,LaNinaTemp
1891-March-01,-0.06,Cold
1892-March-01,-0.66,LaNinaTemp
1893-March-01,-1.31,LaNinaTemp
1894-March-01,-0.91,LaNinaTemp
1895-March-01,-0.57,LaNinaTemp
1896-March-01,0.06,Warm
1897-March-01,0.5,Warm
1898-March-01,-0.82,LaNinaTemp
1899-March-01,-0.38,Cold
1900-March-01,1.04,NinoTemp
1901-March-01,-0.25,Cold
1902-March-01,-0.03,Cold
1903-March-01,0.37,Warm
1904-March-01,-0.95,LaNinaTemp
1905-March-01,0.92,NinoTemp
1906-March-01,0.23,Warm
1907-March-01,-0.56,LaNinaTemp
1908-March-01,-0.45,Cold
1909-March-01,-0.47,Cold
1910-March-01,-0.79,LaNinaTemp
