Date,Nino 3
1870-January-01,-1.35
1871-January-01,-0.25
1872-January-01,-0.76
1873-January-01,-0.95
1874-January-01,-1.33
1875-January-01,-0.77
1876-January-01,-1.25
1877-January-01,0.21
1878-January-01,2.57
1879-January-01,-0.56
1880-January-01,-1.01
1881-January-01,0.11
1882-January-01,-0.61
1883-January-01,-0.79
1884-January-01,-0.33
1885-January-01,0.24
1886-January-01,-0.45
1887-January-01,-0.93
1888-January-01,0.09
1889-January-01,2.02
1890-January-01,-2.01
1891-January-01,-0.42
1892-January-01,-0.46
1893-January-01,-1.57
1894-January-01,-0.86
1895-January-01,-0.72
1896-January-01,0.38
1897-January-01,1.45
1898-January-01,-0.48
1899-January-01,-0.56
1900-January-01,1.4
1901-January-01,0.46
1902-January-01,-0.1
1903-January-01,1.09
1904-January-01,-0.53
1905-January-01,0.66
1906-January-01,0.91
1907-January-01,-0.69
1908-January-01,-0.3
1909-January-01,-0.18
1910-January-01,-0.99
1911-January-01,-0.6
1912-January-01,1.61
1913-January-01,-0.03
1914-January-01,0.81
1915-January-01,0.8
1916-January-01,-0.43
1917-January-01,-1.62
1918-January-01,-1.04
1919-January-01,1.48
1920-January-01,0.72
1921-January-01,0.28
1922-January-01,-0.72
1923-January-01,-0.47
1924-January-01,-0.03
1925-January-01,-0.92
1926-January-01,1.49
1927-January-01,0.05
1928-January-01,0.14
1929-January-01,-0.33
1930-January-01,-0.03
1931-January-01,1.58
1932-January-01,-0.24
1933-January-01,-0.28
1934-January-01,-0.65
1935-January-01,-0.52
1936-January-01,0.56
1937-January-01,-0.17
1938-January-01,-0.37
1939-January-01,-0.69
1940-January-01,1.18
1941-January-01,1.24
1942-January-01,0.51
1943-January-01,-0.89
1944-January-01,-0.53
1945-January-01,-0.48
1946-January-01,-0.7
1947-January-01,0.23
1948-January-01,-0.12
1949-January-01,-0.74
1950-January-01,-1.34
1951-January-01,-0.72
1952-January-01,0.43
1953-January-01,0.07
1954-January-01,-0.15
1955-January-01,-0.76
1956-January-01,-1.3
1957-January-01,-0.87
1958-January-01,1.19
1959-January-01,-0.02
1960-January-01,-0.07
1961-January-01,-0.34
1962-January-01,-0.17
1963-January-01,-0.37
1964-January-01,0.44
1965-January-01,-0.7
1966-January-01,1.12
1967-January-01,-0.49
1968-January-01,-1.16
1969-January-01,0.37
1970-January-01,0.66
1971-January-01,-1.31
1972-January-01,-0.57
1973-January-01,1.62
1974-January-01,-1.58
1975-January-01,-0.44
1976-January-01,-1.65
1977-January-01,0.95
1978-January-01,0.44
1979-January-01,-0.09
1980-January-01,0.42
1981-January-01,-0.74
1982-January-01,0.2
1983-January-01,2.9
1984-January-01,-0.61
1985-January-01,-1.01
1986-January-01,-0.82
1987-January-01,1.04
1988-January-01,0.51
1989-January-01,-1.39
1990-January-01,-0.27
1991-January-01,0.18
1992-January-01,1.39
1993-January-01,-0.06
1994-January-01,-0.04
1995-January-01,0.84
1996-January-01,-0.58
1997-January-01,-0.7
1998-January-01,3.03
1999-January-01,-0.97
2000-January-01,-1.71
2001-January-01,-0.71
2002-January-01,-0.49
2003-January-01,0.71
2004-January-01,0.43
2005-January-01,0.28
2006-January-01,-0.9
2007-January-01,0.63
2008-January-01,-1.6
2009-January-01,-0.62
2010-January-01,1.1
2011-January-01,-1.41
2012-January-01,-0.73
2013-January-01,-0.59
2014-January-01,-0.27
2015-January-01,0.39
2016-January-01,2.64
2017-January-01,-0.09
2018-January-01,-1.17
1870-February-01,-1.2
1871-February-01,-0.52
1872-February-01,-0.74
1873-February-01,-1.18
1874-February-01,-1.4
1875-February-01,-0.49
1876-February-01,-1.45
1877-February-01,0.22
1878-February-01,2.49
1879-February-01,-0.26
1880-February-01,-0.62
1881-February-01,-0.05
1882-February-01,-0.74
1883-February-01,-0.68
1884-February-01,-0.23
1885-February-01,0.13
1886-February-01,-0.67
1887-February-01,-1.27
1888-February-01,0.27
1889-February-01,1.34
1890-February-01,-1.69
1891-February-01,-0.31
1892-February-01,-0.45
1893-February-01,-1.45
1894-February-01,-0.94
1895-February-01,-0.61
1896-February-01,0.18
1897-February-01,1.06
1898-February-01,-0.58
1899-February-01,-0.59
1900-February-01,1.35
1901-February-01,0.03
1902-February-01,-0.08
1903-February-01,0.42
1904-February-01,-0.69
1905-February-01,0.47
1906-February-01,0.55
1907-February-01,-0.56
1908-February-01,0.1
1909-February-01,-0.99
1910-February-01,-0.58
1911-February-01,-0.74
1912-February-01,0.85
1913-February-01,0.15
1914-February-01,0.67
1915-February-01,0.46
1916-February-01,-0.95
1917-February-01,-1.6
1918-February-01,-0.95
1919-February-01,1.02
1920-February-01,0.63
1921-February-01,-0.28
1922-February-01,-0.08
1923-February-01,-0.74
1924-February-01,0.16
1925-February-01,-0.09
1926-February-01,1.08
1927-February-01,0.34
1928-February-01,0.03
1929-February-01,-0.08
1930-February-01,-0.05
1931-February-01,1.19
1932-February-01,-0.02
1933-February-01,-0.05
1934-February-01,-0.69
1935-February-01,-0.65
1936-February-01,0.37
1937-February-01,0.22
1938-February-01,0.01
1939-February-01,-0.91
1940-February-01,1.28
1941-February-01,1.29
1942-February-01,0.2
1943-February-01,-1.03
1944-February-01,0.12
1945-February-01,-0.32
1946-February-01,-0.65
1947-February-01,-0.16
1948-February-01,0.32
1949-February-01,0.0
1950-February-01,-1.6
1951-February-01,-0.43
1952-February-01,0.2
1953-February-01,0.24
1954-February-01,-0.12
1955-February-01,-0.68
1956-February-01,-0.92
1957-February-01,-0.31
1958-February-01,0.91
1959-February-01,-0.03
1960-February-01,-0.37
1961-February-01,0.1
1962-February-01,-0.13
1963-February-01,-0.37
1964-February-01,0.03
1965-February-01,-0.36
1966-February-01,0.51
1967-February-01,-0.42
1968-February-01,-1.32
1969-February-01,0.32
1970-February-01,0.13
1971-February-01,-1.42
1972-February-01,-0.32
1973-February-01,0.81
1974-February-01,-1.19
1975-February-01,-0.5
1976-February-01,-1.02
1977-February-01,0.61
1978-February-01,0.23
1979-February-01,-0.2
1980-February-01,0.02
1981-February-01,-0.65
1982-February-01,0.01
1983-February-01,2.44
1984-February-01,-0.44
1985-February-01,-1.02
1986-February-01,-0.54
1987-February-01,0.98
1988-February-01,0.09
1989-February-01,-0.79
1990-February-01,0.14
1991-February-01,0.03
1992-February-01,1.21
1993-February-01,0.24
1994-February-01,-0.29
1995-February-01,0.58
1996-February-01,-0.53
1997-February-01,-0.39
1998-February-01,2.5
1999-February-01,-0.77
2000-February-01,-1.15
2001-February-01,-0.4
2002-February-01,-0.2
2003-February-01,0.28
2004-February-01,0.14
2005-February-01,-0.11
2006-February-01,-0.4
2007-February-01,0.0
2008-February-01,-1.25
2009-February-01,-0.49
2010-February-01,0.79
2011-February-01,-0.84
2012-February-01,-0.14
2013-February-01,-0.45
2014-February-01,-0.65
2015-February-01,0.16
2016-February-01,1.9
2017-February-01,0.4
2018-February-01,-0.77
1870-March-01,-0.76
1871-March-01,-0.46
1872-March-01,-0.65
1873-March-01,-1.51
1874-March-01,-1.48
1875-March-01,-0.66
1876-March-01,-1.41
1877-March-01,0.22
1878-March-01,1.17
1879-March-01,-0.39
1880-March-01,-0.68
1881-March-01,0.03
1882-March-01,-0.71
1883-March-01,-0.54
1884-March-01,0.07
1885-March-01,-0.07
1886-March-01,-0.71
1887-March-01,-1.25
1888-March-01,0.09
1889-March-01,0.73
1890-March-01,-1.01
1891-March-01,-0.06
1892-March-01,-0.66
1893-March-01,-1.31
1894-March-01,-0.91
1895-March-01,-0.57
1896-March-01,0.06
1897-March-01,0.5
1898-March-01,-0.82
1899-March-01,-0.38
1900-March-01,1.04
1901-March-01,-0.25
1902-March-01,-0.03
1903-March-01,0.37
1904-March-01,-0.95
1905-March-01,0.92
1906-March-01,0.23
1907-March-01,-0.56
1908-March-01,-0.45
1909-March-01,-0.47
1910-March-01,-0.79
1911-March-01,-0.76
1912-March-01,0.56
1913-March-01,-0.11
1914-March-01,0.29
1915-March-01,0.39
1916-March-01,-0.84
1917-March-01,-0.98
1918-March-01,-0.84
1919-March-01,0.59
1920-March-01,0.5
1921-March-01,-1.14
1922-March-01,-0.13
1923-March-01,-1.06
1924-March-01,-0.04
1925-March-01,-0.13
1926-March-01,1.16
1927-March-01,-0.18
1928-March-01,-0.2
1929-March-01,-0.12
1930-March-01,0.02
1931-March-01,1.16
1932-March-01,0.33
1933-March-01,-0.17
1934-March-01,-0.67
1935-March-01,-0.32
1936-March-01,-0.13
1937-March-01,-0.23
1938-March-01,-0.27
1939-March-01,-0.95
1940-March-01,1.09
1941-March-01,1.38
1942-March-01,0.02
1943-March-01,-1.08
1944-March-01,-0.23
1945-March-01,-0.85
1946-March-01,-0.61
1947-March-01,0.15
1948-March-01,0.5
1949-March-01,-0.52
1950-March-01,-0.96
1951-March-01,-0.63
1952-March-01,0.11
1953-March-01,0.15
1954-March-01,-0.32
1955-March-01,-0.88
1956-March-01,-0.67
1957-March-01,0.23
1958-March-01,0.56
1959-March-01,-0.03
1960-March-01,-0.15
1961-March-01,-0.13
1962-March-01,-0.59
1963-March-01,0.0
1964-March-01,-0.36
1965-March-01,-0.17
1966-March-01,0.05
1967-March-01,-0.47
1968-March-01,-1.18
1969-March-01,0.42
1970-March-01,-0.1
1971-March-01,-1.17
1972-March-01,-0.2
1973-March-01,0.31
1974-March-01,-0.94
1975-March-01,-0.44
1976-March-01,-0.57
1977-March-01,0.4
1978-March-01,-0.14
1979-March-01,-0.08
1980-March-01,-0.13
1981-March-01,-0.24
1982-March-01,-0.11
1983-March-01,2.01
1984-March-01,-0.25
1985-March-01,-0.94
1986-March-01,-0.47
1987-March-01,1.05
1988-March-01,0.1
1989-March-01,-1.04
1990-March-01,-0.12
1991-March-01,0.0
1992-March-01,1.19
1993-March-01,0.36
1994-March-01,-0.36
1995-March-01,0.06
1996-March-01,-0.29
1997-March-01,0.06
1998-March-01,2.03
1999-March-01,-0.37
2000-March-01,-0.82
2001-March-01,-0.1
2002-March-01,0.2
2003-March-01,0.1
2004-March-01,-0.06
2005-March-01,-0.16
2006-March-01,-0.58
2007-March-01,-0.36
2008-March-01,-0.73
2009-March-01,-0.76
2010-March-01,0.61
2011-March-01,-0.77
2012-March-01,-0.15
2013-March-01,0.04
2014-March-01,-0.16
2015-March-01,0.08
2016-March-01,1.52
2017-March-01,0.24
2018-March-01,-0.87
1870-April-01,-0.78
1871-April-01,-0.57
1872-April-01,-0.86
1873-April-01,-0.85
1874-April-01,-1.07
1875-April-01,-0.79
1876-April-01,-1.49
1877-April-01,0.13
1878-April-01,0.84
1879-April-01,-0.56
1880-April-01,-0.6
1881-April-01,0.07
1882-April-01,-0.15
1883-April-01,-0.31
1884-April-01,0.32
1885-April-01,-0.16
1886-April-01,-0.72
1887-April-01,-1.1
1888-April-01,0.12
1889-April-01,0.36
1890-April-01,-1.14
1891-April-01,0.17
1892-April-01,-0.74
1893-April-01,-1.24
1894-April-01,-0.8
1895-April-01,-0.27
1896-April-01,0.0
1897-April-01,-0.22
1898-April-01,-0.69
1899-April-01,-0.27
1900-April-01,0.59
1901-April-01,-0.39
1902-April-01,0.22
1903-April-01,-0.11
1904-April-01,-0.76
1905-April-01,0.15
1906-April-01,0.26
1907-April-01,-0.62
1908-April-01,-0.75
1909-April-01,-0.86
1910-April-01,-1.01
1911-April-01,-1.06
1912-April-01,0.53
1913-April-01,-1.16
1914-April-01,0.42
1915-April-01,0.56
1916-April-01,-0.95
1917-April-01,-0.36
1918-April-01,-0.39
1919-April-01,0.5
1920-April-01,0.06
1921-April-01,-0.65
1922-April-01,-0.49
1923-April-01,-0.55
1924-April-01,-0.34
1925-April-01,-0.23
1926-April-01,1.07
1927-April-01,-0.33
1928-April-01,-0.34
1929-April-01,0.09
1930-April-01,0.3
1931-April-01,0.88
