id,release_date,title,vote_average,vote_count
89861,1998-06-12,Stiff Upper Lips,10.0,1
361505,2015-07-07,Me You and Five Bucks,10.0,2
78373,1998-05-01,"Dancer, Texas Pop. 81",10.0,1
40963,2006-01-01,Little Big Top,10.0,1
346081,2015-06-26,Sardaarji,9.5,2
69848,1999-08-02,One Man's Hero,9.3,2
88641,1994-09-02,There Goes My Baby,8.5,2
278,1994-09-23,The Shawshank Redemption,8.5,8205
43867,1937-09-03,The Prisoner of Zenda,8.4,11
238,1972-03-14,The Godfather,8.4,5893
129,2001-07-20,Spirited Away,8.3,3840
244786,2014-10-10,Whiplash,8.3,4254
240,1974-12-20,The Godfather: Part II,8.3,3338
680,1994-10-08,Pulp Fiction,8.3,8428
550,1999-10-15,Fight Club,8.3,9413
322745,2015-02-09,Counting,8.3,3
424,1993-11-29,Schindler's List,8.3,4329
1891,1980-05-17,The Empire Strikes Back,8.2,5879
155,2008-07-16,The Dark Knight,8.2,12002
510,1975-11-18,One Flew Over the Cuckoo's Nest,8.2,2919
30973,2003-09-11,The Visual Bible: The Gospel of John,8.2,12
4935,2004-11-19,Howl's Moving Castle,8.2,1991
311,1984-02-16,Once Upon a Time in America,8.2,1069
17663,1985-12-01,Anne of Green Gables,8.2,68
769,1990-09-12,GoodFellas,8.2,3128
539,1960-06-16,Psycho,8.2,2320
13,1994-07-06,Forrest Gump,8.2,7927
346,1954-04-26,Seven Samurai,8.2,878
497,1999-12-10,The Green Mile,8.2,4048
73,1998-10-30,American History X,8.2,3016
389,1957-03-25,12 Angry Men,8.2,2078
128,1997-07-12,Princess Mononoke,8.2,1983
335,1968-12-21,Once Upon a Time in the West,8.1,1128
207,1989-06-02,Dead Poets Society,8.1,2705
27205,2010-07-14,Inception,8.1,13752
122,2003-12-01,The Lord of the Rings: The Return of the King,8.1,8064
157336,2014-11-05,Interstellar,8.1,10867
27322,1997-03-14,Love Jones,8.1,12
3082,1936-02-05,Modern Times,8.1,856
598,2002-02-05,City of God,8.1,1814
77,2000-10-11,Memento,8.1,4028
694,1980-05-22,The Shining,8.1,3757
284,1960-06-15,The Apartment,8.1,483
429,1966-12-23,"The Good, the Bad and the Ugly",8.1,2311
629,1995-07-19,The Usual Suspects,8.1,3254
274,1991-02-01,The Silence of the Lambs,8.1,4443
807,1995-09-22,Se7en,8.1,5765
264644,2015-10-16,Room,8.1,2757
11,1977-05-25,Star Wars,8.1,6624
242575,2013-10-18,"Guten Tag, Ramón",8.1,18
44260,2006-09-09,Lake of Fire,8.0,10
21525,2003-01-23,Tupac: Resurrection,8.0,26
935,1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0,1442
500,1992-09-02,Reservoir Dogs,8.0,3697
103,1976-02-07,Taxi Driver,8.0,2535
28,1979-08-15,Apocalypse Now,8.0,2055
205596,2014-11-14,The Imitation Game,8.0,5723
19,1927-01-10,Metropolis,8.0,657
8587,1994-06-23,The Lion King,8.0,5376
239,1959-03-18,Some Like It Hot,8.0,808
111,1983-12-08,Scarface,8.0,2948
40862,2006-01-01,Iraq for Sale: The War Profiteers,8.0,6
120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.0,8705
287815,2008-10-10,Call + Response,8.0,1
120467,2014-02-26,The Grand Budapest Hotel,8.0,4519
423,2002-09-24,The Pianist,8.0,1864
40920,2002-01-14,The Business of Fancydancing,8.0,2
1585,1946-12-20,It's a Wonderful Life,8.0,1076
150540,2015-06-09,Inside Out,8.0,6560
89708,2011-09-16,Samsara,8.0,167
595,1962-12-25,To Kill a Mockingbird,8.0,657
108346,1999-10-29,Dreaming of Joseph Lees,8.0,1
161795,1998-04-22,Déjà Vu,8.0,1
164558,2013-08-28,One Direction: This Is Us,8.0,201
328307,2014-11-20,Rise of the Entrepreneur: The Search for a Better Way,8.0,1
121,2002-12-18,The Lord of the Rings: The Two Towers,8.0,7487
333355,2005-03-21,Star Wars: Clone Wars: Volume 1,8.0,27
1124,2006-10-19,The Prestige,8.0,4391
57612,2008-02-15,Dolphins and Whales: Tribes of the Ocean,8.0,3
654,1954-06-22,On the Waterfront,8.0,357
670,2003-01-01,Oldboy,8.0,1945
14631,2005-10-21,The Work and the Glory II: American Zion,8.0,6
99826,2002-01-16,The Jimmy Show,8.0,1
105,1985-07-03,Back to the Future,8.0,6079
357441,2015-07-31,Karachi se Lahore,8.0,1
62,1968-04-10,2001: A Space Odyssey,7.9,2998
1955,1980-10-02,The Elephant Man,7.9,719
106646,2013-12-25,The Wolf of Wall Street,7.9,6571
16869,2009-08-18,Inglourious Basterds,7.9,6430
146233,2013-09-18,Prisoners,7.9,3085
641,2000-10-27,Requiem for a Dream,7.9,2443
98,2000-05-01,Gladiator,7.9,5439
152601,2013-12-18,Her,7.9,4097
78,1982-06-25,Blade Runner,7.9,3509
289,1942-11-26,Casablanca,7.9,1422
1892,1983-05-23,Return of the Jedi,7.9,4665
13963,1978-05-01,The Last Waltz,7.9,64
46738,2010-09-04,Incendies,7.9,479
142061,2013-01-18,"Batman: The Dark Knight Returns, Part 2",7.9,419
