ID,State,County,City,Date Local,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI
15225,New York,Bronx,New York,2007-01-01,Parts per billion,6.583333,20.0,16,29.0
15226,New York,Bronx,New York,2007-01-01,Parts per billion,6.583333,20.0,16,29.0
15227,New York,Bronx,New York,2007-01-01,Parts per billion,6.5625,13.3,20,10.95713213213213
15228,New York,Bronx,New York,2007-01-01,Parts per billion,6.5625,13.3,20,10.95713213213213
15229,New York,Bronx,New York,2007-01-02,Parts per billion,7.909091,19.0,20,27.0
15230,New York,Bronx,New York,2007-01-02,Parts per billion,7.909091,19.0,20,27.0
15231,New York,Bronx,New York,2007-01-02,Parts per billion,8.042857,15.0,20,10.95713213213213
15232,New York,Bronx,New York,2007-01-02,Parts per billion,8.042857,15.0,20,10.95713213213213
15233,New York,Bronx,New York,2007-01-03,Parts per billion,25.458333,44.0,9,61.0
15234,New York,Bronx,New York,2007-01-03,Parts per billion,25.458333,44.0,9,61.0
15235,New York,Bronx,New York,2007-01-03,Parts per billion,25.4125,38.3,8,10.95713213213213
15236,New York,Bronx,New York,2007-01-03,Parts per billion,25.4125,38.3,8,10.95713213213213
15237,New York,Bronx,New York,2007-01-04,Parts per billion,27.375,48.0,6,66.0
15238,New York,Bronx,New York,2007-01-04,Parts per billion,27.375,48.0,6,66.0
15239,New York,Bronx,New York,2007-01-04,Parts per billion,27.3375,44.6,8,10.95713213213213
15240,New York,Bronx,New York,2007-01-04,Parts per billion,27.3375,44.6,8,10.95713213213213
15241,New York,Bronx,New York,2007-01-05,Parts per billion,9.541667,26.0,11,37.0
15242,New York,Bronx,New York,2007-01-05,Parts per billion,9.541667,26.0,11,37.0
15243,New York,Bronx,New York,2007-01-05,Parts per billion,9.525,19.0,11,10.95713213213213
15244,New York,Bronx,New York,2007-01-05,Parts per billion,9.525,19.0,11,10.95713213213213
15245,New York,Bronx,New York,2007-01-06,Parts per billion,4.125,7.0,19,10.0
15246,New York,Bronx,New York,2007-01-06,Parts per billion,4.125,7.0,19,10.0
15247,New York,Bronx,New York,2007-01-06,Parts per billion,4.1,6.6,20,10.95713213213213
15248,New York,Bronx,New York,2007-01-06,Parts per billion,4.1,6.6,20,10.95713213213213
15249,New York,Bronx,New York,2007-01-07,Parts per billion,4.333333,10.0,6,14.0
15250,New York,Bronx,New York,2007-01-07,Parts per billion,4.333333,10.0,6,14.0
15251,New York,Bronx,New York,2007-01-07,Parts per billion,4.3,9.3,8,10.95713213213213
15252,New York,Bronx,New York,2007-01-07,Parts per billion,4.3,9.3,8,10.95713213213213
15253,New York,Bronx,New York,2007-01-08,Parts per billion,6.666667,12.0,23,17.0
15254,New York,Bronx,New York,2007-01-08,Parts per billion,6.666667,12.0,23,17.0
15255,New York,Bronx,New York,2007-01-08,Parts per billion,6.6375,11.3,23,10.95713213213213
15256,New York,Bronx,New York,2007-01-08,Parts per billion,6.6375,11.3,23,10.95713213213213
15257,New York,Bronx,New York,2007-01-09,Parts per billion,12.434783,19.0,9,27.0
15258,New York,Bronx,New York,2007-01-09,Parts per billion,12.434783,19.0,9,27.0
15259,New York,Bronx,New York,2007-01-09,Parts per billion,12.171429,16.0,11,10.95713213213213
15260,New York,Bronx,New York,2007-01-09,Parts per billion,12.171429,16.0,11,10.95713213213213
15261,New York,Bronx,New York,2007-01-10,Parts per billion,7.545455,13.0,5,19.0
15262,New York,Bronx,New York,2007-01-10,Parts per billion,7.545455,13.0,5,19.0
15263,New York,Bronx,New York,2007-01-10,Parts per billion,7.583333,9.0,23,10.95713213213213
15264,New York,Bronx,New York,2007-01-10,Parts per billion,7.583333,9.0,23,10.95713213213213
15265,New York,Bronx,New York,2007-01-11,Parts per billion,11.75,19.0,11,27.0
15266,New York,Bronx,New York,2007-01-11,Parts per billion,11.75,19.0,11,27.0
15267,New York,Bronx,New York,2007-01-11,Parts per billion,11.725,15.3,14,10.95713213213213
15268,New York,Bronx,New York,2007-01-11,Parts per billion,11.725,15.3,14,10.95713213213213
15269,New York,Bronx,New York,2007-01-12,Parts per billion,18.041667,29.0,21,41.0
15270,New York,Bronx,New York,2007-01-12,Parts per billion,18.041667,29.0,21,41.0
15271,New York,Bronx,New York,2007-01-12,Parts per billion,18.0,26.6,23,10.95713213213213
15272,New York,Bronx,New York,2007-01-12,Parts per billion,18.0,26.6,23,10.95713213213213
15273,New York,Bronx,New York,2007-01-13,Parts per billion,13.541667,26.0,6,37.0
15274,New York,Bronx,New York,2007-01-13,Parts per billion,13.541667,26.0,6,37.0
15275,New York,Bronx,New York,2007-01-13,Parts per billion,13.5125,20.6,8,10.95713213213213
15276,New York,Bronx,New York,2007-01-13,Parts per billion,13.5125,20.6,8,10.95713213213213
15277,New York,Bronx,New York,2007-01-14,Parts per billion,5.791667,16.0,21,23.0
15278,New York,Bronx,New York,2007-01-14,Parts per billion,5.791667,16.0,21,23.0
15279,New York,Bronx,New York,2007-01-14,Parts per billion,5.775,11.0,17,10.95713213213213
15280,New York,Bronx,New York,2007-01-14,Parts per billion,5.775,11.0,17,10.95713213213213
15281,New York,Bronx,New York,2007-01-15,Parts per billion,8.416667,25.0,21,36.0
15282,New York,Bronx,New York,2007-01-15,Parts per billion,8.416667,25.0,21,36.0
15283,New York,Bronx,New York,2007-01-15,Parts per billion,8.375,19.3,23,10.95713213213213
15284,New York,Bronx,New York,2007-01-15,Parts per billion,8.375,19.3,23,10.95713213213213
15285,New York,Bronx,New York,2007-01-16,Parts per billion,8.318182,15.0,0,21.0
15286,New York,Bronx,New York,2007-01-16,Parts per billion,8.318182,15.0,0,21.0
15287,New York,Bronx,New York,2007-01-16,Parts per billion,8.257143,10.0,2,10.95713213213213
15288,New York,Bronx,New York,2007-01-16,Parts per billion,8.257143,10.0,2,10.95713213213213
15289,New York,Bronx,New York,2007-01-17,Parts per billion,8.333333,14.0,7,20.0
15290,New York,Bronx,New York,2007-01-17,Parts per billion,8.333333,14.0,7,20.0
15291,New York,Bronx,New York,2007-01-17,Parts per billion,8.3125,12.3,8,10.95713213213213
15292,New York,Bronx,New York,2007-01-17,Parts per billion,8.3125,12.3,8,10.95713213213213
15293,New York,Bronx,New York,2007-01-18,Parts per billion,13.375,26.0,10,37.0
15294,New York,Bronx,New York,2007-01-18,Parts per billion,13.375,26.0,10,37.0
15295,New York,Bronx,New York,2007-01-18,Parts per billion,13.35,20.0,11,10.95713213213213
15296,New York,Bronx,New York,2007-01-18,Parts per billion,13.35,20.0,11,10.95713213213213
15297,New York,Bronx,New York,2007-01-19,Parts per billion,13.541667,26.0,6,37.0
15298,New York,Bronx,New York,2007-01-19,Parts per billion,13.541667,26.0,6,37.0
15299,New York,Bronx,New York,2007-01-19,Parts per billion,13.525,25.0,8,10.95713213213213
15300,New York,Bronx,New York,2007-01-19,Parts per billion,13.525,25.0,8,10.95713213213213
15301,New York,Bronx,New York,2007-01-20,Parts per billion,7.5,9.0,5,13.0
15302,New York,Bronx,New York,2007-01-20,Parts per billion,7.5,9.0,5,13.0
15303,New York,Bronx,New York,2007-01-20,Parts per billion,7.4625,8.6,8,10.95713213213213
15304,New York,Bronx,New York,2007-01-20,Parts per billion,7.4625,8.6,8,10.95713213213213
15305,New York,Bronx,New York,2007-01-21,Parts per billion,10.375,17.0,21,24.0
15306,New York,Bronx,New York,2007-01-21,Parts per billion,10.375,17.0,21,24.0
15307,New York,Bronx,New York,2007-01-21,Parts per billion,10.35,14.0,20,10.95713213213213
15308,New York,Bronx,New York,2007-01-21,Parts per billion,10.35,14.0,20,10.95713213213213
15309,New York,Bronx,New York,2007-01-22,Parts per billion,14.272727,32.0,8,46.0
15310,New York,Bronx,New York,2007-01-22,Parts per billion,14.272727,32.0,8,46.0
15311,New York,Bronx,New York,2007-01-22,Parts per billion,13.385714,18.3,23,10.95713213213213
15312,New York,Bronx,New York,2007-01-22,Parts per billion,13.385714,18.3,23,10.95713213213213
15313,New York,Bronx,New York,2007-01-23,Parts per billion,12.541667,26.0,23,37.0
15314,New York,Bronx,New York,2007-01-23,Parts per billion,12.541667,26.0,23,37.0
15315,New York,Bronx,New York,2007-01-23,Parts per billion,12.5,23.0,23,10.95713213213213
15316,New York,Bronx,New York,2007-01-23,Parts per billion,12.5,23.0,23,10.95713213213213
15317,New York,Bronx,New York,2007-01-24,Parts per billion,16.958333,30.0,5,43.0
15318,New York,Bronx,New York,2007-01-24,Parts per billion,16.958333,30.0,5,43.0
15319,New York,Bronx,New York,2007-01-24,Parts per billion,16.925,28.3,8,10.95713213213213
15320,New York,Bronx,New York,2007-01-24,Parts per billion,16.925,28.3,8,10.95713213213213
15321,New York,Bronx,New York,2007-01-25,Parts per billion,9.791667,17.0,8,24.0
15322,New York,Bronx,New York,2007-01-25,Parts per billion,9.791667,17.0,8,24.0
15323,New York,Bronx,New York,2007-01-25,Parts per billion,9.7625,12.0,8,10.95713213213213
15324,New York,Bronx,New York,2007-01-25,Parts per billion,9.7625,12.0,8,10.95713213213213
15325,New York,Bronx,New York,2007-01-26,Parts per billion,9.75,15.0,20,21.0
15326,New York,Bronx,New York,2007-01-26,Parts per billion,9.75,15.0,20,21.0
15327,New York,Bronx,New York,2007-01-26,Parts per billion,9.725,14.0,20,10.95713213213213
15328,New York,Bronx,New York,2007-01-26,Parts per billion,9.725,14.0,20,10.95713213213213
15329,New York,Bronx,New York,2007-01-27,Parts per billion,25.0,42.0,21,59.0
15330,New York,Bronx,New York,2007-01-27,Parts per billion,25.0,42.0,21,59.0
15331,New York,Bronx,New York,2007-01-27,Parts per billion,24.975,37.6,23,10.95713213213213
15332,New York,Bronx,New York,2007-01-27,Parts per billion,24.975,37.6,23,10.95713213213213
15333,New York,Bronx,New York,2007-01-28,Parts per billion,12.666667,27.0,7,39.0
15334,New York,Bronx,New York,2007-01-28,Parts per billion,12.666667,27.0,7,39.0
15335,New York,Bronx,New York,2007-01-28,Parts per billion,12.6125,23.6,8,10.95713213213213
15336,New York,Bronx,New York,2007-01-28,Parts per billion,12.6125,23.6,8,10.95713213213213
15337,New York,Bronx,New York,2007-01-29,Parts per billion,10.9,20.0,21,29.0
15338,New York,Bronx,New York,2007-01-29,Parts per billion,10.9,20.0,21,29.0
15339,New York,Bronx,New York,2007-01-29,Parts per billion,11.25,18.3,23,10.95713213213213
15340,New York,Bronx,New York,2007-01-29,Parts per billion,11.25,18.3,23,10.95713213213213
15341,New York,Bronx,New York,2007-01-30,Parts per billion,21.708333,36.0,8,51.0
15342,New York,Bronx,New York,2007-01-30,Parts per billion,21.708333,36.0,8,51.0
15343,New York,Bronx,New York,2007-01-30,Parts per billion,21.6625,34.3,8,10.95713213213213
15344,New York,Bronx,New York,2007-01-30,Parts per billion,21.6625,34.3,8,10.95713213213213
15345,New York,Bronx,New York,2007-01-31,Parts per billion,14.916667,22.0,21,31.0
15346,New York,Bronx,New York,2007-01-31,Parts per billion,14.916667,22.0,21,31.0
15347,New York,Bronx,New York,2007-01-31,Parts per billion,14.8875,20.3,23,10.95713213213213
15348,New York,Bronx,New York,2007-01-31,Parts per billion,14.8875,20.3,23,10.95713213213213
15349,New York,Bronx,New York,2007-02-01,Parts per billion,20.833333,37.0,6,52.0
15350,New York,Bronx,New York,2007-02-01,Parts per billion,20.833333,37.0,6,52.0
15351,New York,Bronx,New York,2007-02-01,Parts per billion,20.8,30.0,8,10.95713213213213
15352,New York,Bronx,New York,2007-02-01,Parts per billion,20.8,30.0,8,10.95713213213213
15353,New York,Bronx,New York,2007-02-02,Parts per billion,15.041667,26.0,0,37.0
15354,New York,Bronx,New York,2007-02-02,Parts per billion,15.041667,26.0,0,37.0
15355,New York,Bronx,New York,2007-02-02,Parts per billion,15.0125,21.0,2,10.95713213213213
15356,New York,Bronx,New York,2007-02-02,Parts per billion,15.0125,21.0,2,10.95713213213213
15357,New York,Bronx,New York,2007-02-03,Parts per billion,14.5,27.0,20,39.0
15358,New York,Bronx,New York,2007-02-03,Parts per billion,14.5,27.0,20,39.0
15359,New York,Bronx,New York,2007-02-03,Parts per billion,14.4625,19.6,20,10.95713213213213
15360,New York,Bronx,New York,2007-02-03,Parts per billion,14.4625,19.6,20,10.95713213213213
15361,New York,Bronx,New York,2007-02-04,Parts per billion,12.708333,18.0,19,26.0
15362,New York,Bronx,New York,2007-02-04,Parts per billion,12.708333,18.0,19,26.0
15363,New York,Bronx,New York,2007-02-04,Parts per billion,12.6875,16.0,2,10.95713213213213
15364,New York,Bronx,New York,2007-02-04,Parts per billion,12.6875,16.0,2,10.95713213213213
15365,New York,Bronx,New York,2007-02-05,Parts per billion,12.208333,19.0,21,27.0
15366,New York,Bronx,New York,2007-02-05,Parts per billion,12.208333,19.0,21,27.0
15367,New York,Bronx,New York,2007-02-05,Parts per billion,12.1625,16.0,8,10.95713213213213
15368,New York,Bronx,New York,2007-02-05,Parts per billion,12.1625,16.0,8,10.95713213213213
15369,New York,Bronx,New York,2007-02-06,Parts per billion,14.75,23.0,22,33.0
15370,New York,Bronx,New York,2007-02-06,Parts per billion,14.75,23.0,22,33.0
15371,New York,Bronx,New York,2007-02-06,Parts per billion,14.725,21.0,23,10.95713213213213
15372,New York,Bronx,New York,2007-02-06,Parts per billion,14.725,21.0,23,10.95713213213213
15373,New York,Bronx,New York,2007-01-23,Parts per billion,13.933333,28.5,23,40.0
15374,New York,Bronx,New York,2007-01-23,Parts per billion,13.933333,28.5,23,40.0
15375,New York,Bronx,New York,2007-01-23,Parts per billion,13.92,25.3,23,10.95713213213213
15376,New York,Bronx,New York,2007-01-23,Parts per billion,13.92,25.3,23,10.95713213213213
15377,New York,Bronx,New York,2007-01-24,Parts per billion,18.429167,34.1,5,49.0
15378,New York,Bronx,New York,2007-01-24,Parts per billion,18.429167,34.1,5,49.0
15379,New York,Bronx,New York,2007-01-24,Parts per billion,18.375,31.0,8,10.95713213213213
15380,New York,Bronx,New York,2007-01-24,Parts per billion,18.375,31.0,8,10.95713213213213
15381,New York,Bronx,New York,2007-01-25,Parts per billion,8.125,16.8,8,23.0
15382,New York,Bronx,New York,2007-01-25,Parts per billion,8.125,16.8,8,23.0
15383,New York,Bronx,New York,2007-01-25,Parts per billion,8.0875,11.7,8,10.95713213213213
15384,New York,Bronx,New York,2007-01-25,Parts per billion,8.0875,11.7,8,10.95713213213213
15385,New York,Bronx,New York,2007-01-26,Parts per billion,9.1125,15.2,7,21.0
15386,New York,Bronx,New York,2007-01-26,Parts per billion,9.1125,15.2,7,21.0
15387,New York,Bronx,New York,2007-01-26,Parts per billion,9.075,13.1,23,10.95713213213213
15388,New York,Bronx,New York,2007-01-26,Parts per billion,9.075,13.1,23,10.95713213213213
15389,New York,Bronx,New York,2007-01-27,Parts per billion,26.225,42.2,21,59.0
15390,New York,Bronx,New York,2007-01-27,Parts per billion,26.225,42.2,21,59.0
15391,New York,Bronx,New York,2007-01-27,Parts per billion,26.1875,38.8,23,10.95713213213213
15392,New York,Bronx,New York,2007-01-27,Parts per billion,26.1875,38.8,23,10.95713213213213
15393,New York,Bronx,New York,2007-01-28,Parts per billion,12.35,28.7,5,40.0
15394,New York,Bronx,New York,2007-01-28,Parts per billion,12.35,28.7,5,40.0
15395,New York,Bronx,New York,2007-01-28,Parts per billion,12.3125,22.3,5,10.95713213213213
15396,New York,Bronx,New York,2007-01-28,Parts per billion,12.3125,22.3,5,10.95713213213213
15397,New York,Bronx,New York,2007-01-29,Parts per billion,10.320833,22.5,21,31.0
15398,New York,Bronx,New York,2007-01-29,Parts per billion,10.320833,22.5,21,31.0
15399,New York,Bronx,New York,2007-01-29,Parts per billion,10.2875,20.0,23,10.95713213213213
15400,New York,Bronx,New York,2007-01-29,Parts per billion,10.2875,20.0,23,10.95713213213213
15401,New York,Bronx,New York,2007-01-30,Parts per billion,20.595238,36.9,8,51.0
15402,New York,Bronx,New York,2007-01-30,Parts per billion,20.595238,36.9,8,51.0
15403,New York,Bronx,New York,2007-01-30,Parts per billion,18.833333,21.3,2,10.95713213213213
15404,New York,Bronx,New York,2007-01-30,Parts per billion,18.833333,21.3,2,10.95713213213213
15405,New York,Bronx,New York,2007-01-31,Parts per billion,14.208333,22.4,21,31.0
15406,New York,Bronx,New York,2007-01-31,Parts per billion,14.208333,22.4,21,31.0
15407,New York,Bronx,New York,2007-01-31,Parts per billion,14.175,21.3,23,10.95713213213213
15408,New York,Bronx,New York,2007-01-31,Parts per billion,14.175,21.3,23,10.95713213213213
15409,New York,Bronx,New York,2007-02-01,Parts per billion,21.020833,36.1,6,51.0
15410,New York,Bronx,New York,2007-02-01,Parts per billion,21.020833,36.1,6,51.0
15411,New York,Bronx,New York,2007-02-01,Parts per billion,20.9875,29.3,8,10.95713213213213
15412,New York,Bronx,New York,2007-02-01,Parts per billion,20.9875,29.3,8,10.95713213213213
15413,New York,Bronx,New York,2007-02-02,Parts per billion,15.1,32.2,19,46.0
15414,New York,Bronx,New York,2007-02-02,Parts per billion,15.1,32.2,19,46.0
15415,New York,Bronx,New York,2007-02-02,Parts per billion,15.0625,22.2,20,10.95713213213213
15416,New York,Bronx,New York,2007-02-02,Parts per billion,15.0625,22.2,20,10.95713213213213
15417,New York,Bronx,New York,2007-02-03,Parts per billion,15.270833,26.5,20,37.0
15418,New York,Bronx,New York,2007-02-03,Parts per billion,15.270833,26.5,20,37.0
15419,New York,Bronx,New York,2007-02-03,Parts per billion,15.25,20.5,2,10.95713213213213
15420,New York,Bronx,New York,2007-02-03,Parts per billion,15.25,20.5,2,10.95713213213213
15421,New York,Bronx,New York,2007-02-04,Parts per billion,13.866667,20.0,19,29.0
15422,New York,Bronx,New York,2007-02-04,Parts per billion,13.866667,20.0,19,29.0
15423,New York,Bronx,New York,2007-02-04,Parts per billion,13.825,17.7,20,10.95713213213213
15424,New York,Bronx,New York,2007-02-04,Parts per billion,13.825,17.7,20,10.95713213213213
15425,New York,Bronx,New York,2007-02-05,Parts per billion,13.059091,20.7,21,29.0
15426,New York,Bronx,New York,2007-02-05,Parts per billion,13.059091,20.7,21,29.0
15427,New York,Bronx,New York,2007-02-05,Parts per billion,12.871429,17.3,20,10.95713213213213
15428,New York,Bronx,New York,2007-02-05,Parts per billion,12.871429,17.3,20,10.95713213213213
15429,New York,Bronx,New York,2007-02-06,Parts per billion,16.208333,24.1,20,34.0
15430,New York,Bronx,New York,2007-02-06,Parts per billion,16.208333,24.1,20,34.0
15431,New York,Bronx,New York,2007-02-06,Parts per billion,16.175,22.9,23,10.95713213213213
15432,New York,Bronx,New York,2007-02-06,Parts per billion,16.175,22.9,23,10.95713213213213
15433,New York,Bronx,New York,2007-02-07,Parts per billion,15.1375,21.7,21,30.0
15434,New York,Bronx,New York,2007-02-07,Parts per billion,15.1375,21.7,21,30.0
15435,New York,Bronx,New York,2007-02-07,Parts per billion,15.1,20.3,23,10.95713213213213
15436,New York,Bronx,New York,2007-02-07,Parts per billion,15.1,20.3,23,10.95713213213213
15437,New York,Bronx,New York,2007-02-08,Parts per billion,15.758333,21.3,21,30.0
15438,New York,Bronx,New York,2007-02-08,Parts per billion,15.758333,21.3,21,30.0
15439,New York,Bronx,New York,2007-02-08,Parts per billion,15.725,20.9,8,10.95713213213213
15440,New York,Bronx,New York,2007-02-08,Parts per billion,15.725,20.9,8,10.95713213213213
15441,New York,Bronx,New York,2007-02-09,Parts per billion,14.895833,28.1,6,40.0
15442,New York,Bronx,New York,2007-02-09,Parts per billion,14.895833,28.1,6,40.0
15443,New York,Bronx,New York,2007-02-09,Parts per billion,14.8625,24.8,8,10.95713213213213
15444,New York,Bronx,New York,2007-02-09,Parts per billion,14.8625,24.8,8,10.95713213213213
15445,New York,Bronx,New York,2007-02-10,Parts per billion,12.183333,16.9,7,23.0
15446,New York,Bronx,New York,2007-02-10,Parts per billion,12.183333,16.9,7,23.0
15447,New York,Bronx,New York,2007-02-10,Parts per billion,12.1625,14.7,2,10.95713213213213
15448,New York,Bronx,New York,2007-02-10,Parts per billion,12.1625,14.7,2,10.95713213213213
15449,New York,Bronx,New York,2007-02-11,Parts per billion,14.095833,23.7,23,33.0
15450,New York,Bronx,New York,2007-02-11,Parts per billion,14.095833,23.7,23,33.0
15451,New York,Bronx,New York,2007-02-11,Parts per billion,14.05,22.6,23,10.95713213213213
15452,New York,Bronx,New York,2007-02-11,Parts per billion,14.05,22.6,23,10.95713213213213
15453,New York,Bronx,New York,2007-02-12,Parts per billion,18.880952,32.1,6,46.0
15454,New York,Bronx,New York,2007-02-12,Parts per billion,18.880952,32.1,6,46.0
15455,New York,Bronx,New York,2007-02-12,Parts per billion,17.633333,26.7,5,10.95713213213213
15456,New York,Bronx,New York,2007-02-12,Parts per billion,17.633333,26.7,5,10.95713213213213
15457,New York,Bronx,New York,2007-02-13,Parts per billion,7.579167,13.9,2,19.0
15458,New York,Bronx,New York,2007-02-13,Parts per billion,7.579167,13.9,2,19.0
15459,New York,Bronx,New York,2007-02-13,Parts per billion,7.5625,11.4,5,10.95713213213213
15460,New York,Bronx,New York,2007-02-13,Parts per billion,7.5625,11.4,5,10.95713213213213
15461,New York,Bronx,New York,2007-02-14,Parts per billion,7.675,13.3,14,19.0
15462,New York,Bronx,New York,2007-02-14,Parts per billion,7.675,13.3,14,19.0
15463,New York,Bronx,New York,2007-02-14,Parts per billion,7.6375,11.6,14,10.95713213213213
15464,New York,Bronx,New York,2007-02-14,Parts per billion,7.6375,11.6,14,10.95713213213213
15465,New York,Bronx,New York,2007-02-15,Parts per billion,10.491667,15.6,18,21.0
15466,New York,Bronx,New York,2007-02-15,Parts per billion,10.491667,15.6,18,21.0
15467,New York,Bronx,New York,2007-02-15,Parts per billion,10.4625,15.0,20,10.95713213213213
15468,New York,Bronx,New York,2007-02-15,Parts per billion,10.4625,15.0,20,10.95713213213213
15469,New York,Bronx,New York,2007-02-16,Parts per billion,16.833333,23.8,20,33.0
15470,New York,Bronx,New York,2007-02-16,Parts per billion,16.833333,23.8,20,33.0
15471,New York,Bronx,New York,2007-02-16,Parts per billion,16.8125,22.3,23,10.95713213213213
15472,New York,Bronx,New York,2007-02-16,Parts per billion,16.8125,22.3,23,10.95713213213213
15473,New York,Bronx,New York,2007-02-17,Parts per billion,25.4,36.5,7,51.0
15474,New York,Bronx,New York,2007-02-17,Parts per billion,25.4,36.5,7,51.0
15475,New York,Bronx,New York,2007-02-17,Parts per billion,25.35,34.8,8,10.95713213213213
15476,New York,Bronx,New York,2007-02-17,Parts per billion,25.35,34.8,8,10.95713213213213
15477,New York,Bronx,New York,2007-02-18,Parts per billion,15.541667,35.7,5,50.0
15478,New York,Bronx,New York,2007-02-18,Parts per billion,15.541667,35.7,5,50.0
15479,New York,Bronx,New York,2007-02-18,Parts per billion,15.5,29.2,5,10.95713213213213
15480,New York,Bronx,New York,2007-02-18,Parts per billion,15.5,29.2,5,10.95713213213213
15481,New York,Bronx,New York,2007-02-19,Parts per billion,12.070833,28.3,23,40.0
