state rawpoll_trump adjpoll_trump
U.S. 35.07 40.86509
U.S. 46.0 44.72984
Virginia 42.0 40.72604
Florida 45.0 45.30585
U.S. 40.0 42.20888
U.S. 41.0 42.26663
U.S. 43.7 43.56017
Pennsylvania 44.0 43.50333
U.S. 36.4 37.24948
U.S. 40.0 41.6954
U.S. 46.9 43.84845
Florida 46.0 47.92262
California 28.0 29.50605
U.S. 39.0 40.34972
"North Carolina" 41.0 42.01937
Florida 44.0 45.07725
U.S. 37.0 39.33826
Florida 45.0 46.11255
Pennsylvania 40.0 39.80679
Pennsylvania 39.0 41.34735
U.S. 38.0 39.99571
Missouri 53.0 50.7572
Colorado 39.0 38.87231
U.S. 41.0 41.55637
Arizona 44.0 43.84806
U.S. 45.0 45.0337
"North Carolina" 45.0 44.78595
U.S. 44.0 44.1804
U.S. 41.0 40.41809
Missouri 50.0 49.47709
"New Hampshire" 36.0 38.24964
Pennsylvania 43.0 41.14791
Ohio 48.0 46.14791
"North Carolina" 47.0 45.14791
Wisconsin 42.0 40.14791
U.S. 47.71 44.13978
"North Carolina" 39.0 41.64333
"New Mexico" 40.0 39.62985
Arizona 46.0 46.35058
Virginia 43.0 41.14791
Iowa 44.0 44.58124
Virginia 45.0 43.2056
Minnesota 39.0 39.01773
U.S. 40.0 41.15833
Texas 46.0 46.87188
U.S. 37.6 39.36292
Florida 39.0 42.24168
Florida 48.0 46.14791
Maine 42.0 40.2258
Georgia 46.0 45.10929
Nevada 43.0 44.92952
"New Hampshire" 39.0 40.53563
Texas 51.53 50.76878
Pennsylvania 38.0 39.71922
California 30.0 29.1581
Florida 47.0 47.02554
Colorado 44.0 42.14791
U.S. 40.0 41.09445
Florida 45.0 44.14946
Georgia 44.0 46.25708
Florida 43.0 43.90773
Georgia 49.0 50.48988
U.S. 34.0 36.25222
"North Carolina" 47.0 46.96766
Virginia 38.0 38.43544
Florida 44.0 43.8345
Kentucky 56.0 54.75208
Georgia 44.0 44.30946
U.S. 44.0 43.25948
Ohio 45.0 43.74232
Vermont 26.0 26.71407
Idaho 52.0 49.56269
Texas 47.0 46.14158
Pennsylvania 41.0 40.13711
"North Carolina" 44.0 44.81387
"North Carolina" 43.0 43.37304
Virginia 38.0 37.14005
"South Carolina" 45.0 44.11066
"New York" 33.0 32.15746
Ohio 45.0 44.15226
Nevada 48.0 46.14791
Maine 37.0 39.87309
Michigan 42.0 41.15661
U.S. 38.0 39.86935
Virginia 39.0 42.00444
"North Carolina" 44.0 43.12482
Missouri 47.0 47.89443
Colorado 39.0 38.17576
U.S. 38.0 39.80119
Missouri 52.0 51.30836
Arizona 44.0 43.16145
"North Carolina" 45.0 43.6958
Kansas 47.0 46.16644
Illinois 36.1 36.88839
U.S. 34.95 38.77402
U.S. 36.0 37.15985
Indiana 50.0 49.41636
Florida 36.95 40.76155
Wisconsin 38.0 38.00763
Wisconsin 42.0 41.1679
Michigan 34.0 36.47088
Florida 41.0 44.8174
Utah 33.0 32.16731
California 30.0 31.15174
Nevada 41.0 42.88154
Nevada 46.0 46.2872
Minnesota 39.0 40.75738
U.S. 41.0 42.26845
U.S. 38.0 41.12745
"New Mexico" 34.0 33.16729
Iowa 45.0 44.17565
Illinois 41.0 39.20806
"South Dakota" 48.0 48.26057
"New Hampshire" 38.0 39.70905
Texas 45.0 46.33903
Montana 46.0 48.56234
Illinois 35.0 34.14838
Washington 31.0 34.26857
Illinois 34.0 35.72532
Florida 45.7 45.19785
Utah 32.0 32.55424
Nevada 42.0 41.15372
Nevada 42.0 40.74479
Pennsylvania 39.0 41.05856
"North Carolina" 41.2 43.26671
Kentucky 54.0 53.66605
"New Hampshire" 43.0 42.72147
Arizona 45.0 45.25915
Pennsylvania 43.0 41.95567
Utah 32.0 33.3695
Idaho 48.0 49.49641
U.S. 38.0 40.40553
Massachusetts 25.0 26.40688
"North Carolina" 44.0 44.89416
Utah 37.0 38.41128
Massachusetts 29.0 28.23054
Florida 45.0 43.73757
"New Hampshire" 42.0 42.93306
"New York" 30.0 33.55711
"North Carolina" 47.0 46.90791
Maine 37.0 38.54995
Louisiana 54.0 55.76905
Minnesota 37.0 36.17055
Ohio 48.0 48.09313
Nevada 40.0 41.76702
Washington 34.0 33.1857
Ohio 42.0 44.7854
Oregon 36.0 35.18075
Nevada 43.0 42.71152
Maryland 27.0 26.13856
U.S. 42.0 40.65233
"New Hampshire" 40.0 40.5204
Michigan 43.0 42.00147
"New Jersey" 35.0 34.16399
Wisconsin 37.0 39.74128
Alaska 39.0 45.38098
Utah 27.0 27.11539
Florida 48.0 48.44582
"North Carolina" 46.0 46.42118
Nevada 41.0 41.45008
Pennsylvania 42.0 42.43347
Ohio 41.0 41.44862
Michigan 41.0 40.14295
Arizona 46.0 46.90595
Georgia 47.0 48.53924
Oregon 38.0 39.37527
Pennsylvania 39.0 41.96887
Wisconsin 39.0 41.87598
Texas 41.0 44.2543
"New Hampshire" 35.0 34.22404
Indiana 51.0 50.13723
Mississippi 48.0 47.09292
Texas 47.0 48.10834
Nevada 44.0 44.10296
Missouri 46.0 45.14172
Idaho 41.0 47.34836
Colorado 37.0 38.65441
"North Carolina" 46.0 46.91699
U.S. 36.0 37.88814
Kansas 47.0 48.25099
"North Carolina" 41.0 44.76365
Wisconsin 42.0 40.49327
"Maine CD-1" 42.5 40.72964
"Maine CD-2" 42.2 40.42152
Florida 39.0 42.90788
Pennsylvania 41.0 42.39354
Florida 44.0 45.4769
Nevada 43.0 44.26822
"Nebraska CD-3" 65.0 62.62538
"Nebraska CD-1" 53.0 50.6605
Georgia 40.0 43.67281
U.S. 39.0 41.35157
Vermont 22.0 24.49771
U.S. 40.0 41.99332
"Maine CD-2" 39.0 40.26033
"North Carolina" 42.0 44.81083
Colorado 39.0 40.86651
Connecticut 39.0 38.1838
Tennessee 51.0 50.1421
Ohio 45.0 46.4958
Oklahoma 59.6 60.14592
Virginia 38.0 41.85281
Indiana 49.0 49.63599
Missouri 47.0 47.26392
"North Carolina" 43.0 44.88707
Iowa 43.0 45.29969
"New Hampshire" 44.6 42.98452
Alabama 55.0 54.10242
Arkansas 52.0 51.14244
Louisiana 50.0 51.70419
Pennsylvania 38.0 42.18987
"South Dakota" 49.0 49.89109
Washington 39.0 39.20037
Massachusetts 28.0 31.45361
Oklahoma 54.0 53.13631
Alaska 43.0 43.85737
Hawaii 32.0 31.1988
Pennsylvania 37.0 39.66414
Ohio 45.0 47.25517
Delaware 38.0 37.14857
Ohio 42.0 43.77117
Wisconsin 39.0 40.8773
Florida 43.3 44.02984
Idaho 49.0 48.16943
Wisconsin 40.0 41.73809
Ohio 39.0 43.29323
Michigan 36.0 39.2192
U.S. 37.0 40.27811
Vermont 25.0 24.21046
Nevada 40.0 41.74498
Ohio 34.4 39.05433
Kentucky 58.0 57.14391
U.S. 39.0 41.3288
Louisiana 51.0 50.11112
Maine 37.0 36.20846
"Rhode Island" 36.0 35.23362
Indiana 43.0 47.1907
"Maine CD-2" 40.0 42.81375
"South Dakota" 44.0 46.01273
Nebraska 52.0 51.16212
Arkansas 56.0 56.37258
Montana 49.0 48.17945
"Maine CD-1" 33.4 34.98907
U.S. 37.0 40.58682
Oregon 36.0 38.3807
"Maine CD-1" 34.0 36.92638
Ohio 43.0 44.78949
"Nebraska CD-2" 44.0 48.06166
Georgia 50.1 51.11841
Louisiana 49.0 51.02677
Alaska 37.0 41.54916
Oregon 36.0 40.05672
Iowa 37.0 41.45274
Nevada 39.0 42.93629
"New Hampshire" 38.0 41.53912
Maryland 27.0 27.98505
Wyoming 58.0 59.93697
"North Carolina" 41.0 43.59832
Arizona 37.8 41.77341
Oregon 39.0 40.89307
"West Virginia" 58.0 59.20534
"New Hampshire" 37.0 36.65459
Georgia 47.8 49.8495
"Maine CD-2" 41.4 42.90639
"New Hampshire" 34.0 38.08738
Vermont 17.0 21.70191
Wisconsin 43.0 44.36462
Michigan 30.6 34.46255
Indiana 43.0 45.59868
Louisiana 45.0 49.5823
Florida 45.0 46.23028
Virginia 38.0 39.51299
Utah 34.0 35.49987
Illinois 31.5 33.39106
"District of Columbia" 4.0 3.233949
Illinois 28.4 31.91777
Pennsylvania 40.0 42.79092
Florida 42.0 44.11649
"West Virginia" 58.0 57.16384
Georgia 45.8 46.02702
Ohio 38.0 41.35201
California 26.85 32.65026
Kentucky 31.8 42.84457
Texas 43.03 48.81374
"North Carolina" 43.4 45.8353
Indiana 45.0 46.79039
"New York" 30.2 35.99962
Alaska 46.0 45.18332
"South Dakota" 53.0 52.17194
Florida 44.1 49.89161
Illinois 28.26 34.05053
U.S. 43.0 44.8903
"New Mexico" 33.0 34.16637
"New Hampshire" 39.0 41.86177
Wisconsin 40.0 41.80661
"New Hampshire" 36.0 36.74574
California 25.0 28.97984
Florida 42.0 43.75661
Pennsylvania 39.0 40.5389
"New Jersey" 33.18 38.98614
"North Dakota" 53.0 52.19415
Pennsylvania 39.45 45.22926
Florida 42.0 44.19342
Tennessee 44.0 48.93215
Ohio 35.38 41.17442
Tennessee 44.0 48.33373
Nevada 41.0 43.7723
Missouri 46.0 47.83274
U.S. 39.0 42.21442
Nevada 41.0 43.31107
U.S. 40.0 41.51434
Pennsylvania 41.0 41.23695
Florida 44.61 45.28074
California 26.16 26.51664
Wisconsin 28.69 34.50006
Indiana 33.82 39.59938
U.S. 45.0 43.99873
Virginia 40.0 41.55767
Minnesota 28.58 34.3927
U.S. 42.0 42.01054
Wyoming 62.0 61.17097
Indiana 43.0 46.80492
Utah 26.0 30.21319
Ohio 40.3 43.46788
Arizona 36.5 40.26734
Missouri 38.14 43.92387
"North Carolina" 40.6 46.36697
"Nebraska CD-2" 49.0 46.87498
Virginia 37.0 38.43676
Florida 42.0 44.73419
Washington 26.69 32.51785
U.S. 39.0 41.51708
Virginia 34.0 35.02744
Colorado 35.0 37.14172
Michigan 34.9 40.69876
Virginia 33.85 39.6322
Arizona 32.88 38.68361
"Rhode Island" 32.0 33.18674
Colorado 27.9 33.71792
Alaska 37.0 40.07154
U.S. 33.4 37.47699
Texas 45.0 46.24957
"New York" 31.0 33.54544
U.S. 42.0 43.64248
"New Jersey" 34.25 35.29386
"New Jersey" 35.0 37.56581
Georgia 41.56 47.31145
Virginia 36.0 39.92325
"New Hampshire" 42.0 45.07323
Louisiana 52.0 52.29141
Maryland 25.15 30.93072
Missouri 46.0 47.44693
Colorado 42.0 41.98827
Texas 48.36 48.22123
Colorado 40.0 41.78557
Massachusetts 24.67 30.54269
California 33.0 34.05267
"New York" 30.28 30.85259
Arizona 42.0 42.70431
Pennsylvania 44.0 43.75259
"North Carolina" 42.0 44.52021
U.S. 45.0 44.26389
"North Carolina" 44.0 44.90802
Ohio 45.17 45.11589
Virginia 39.3 39.52454
Alabama 56.12 61.86457
Illinois 34.57 34.65069
Oregon 30.6 36.4229
Iowa 30.16 35.9778
"New Mexico" 31.0 34.16085
U.S. 38.0 39.7374
Ohio 42.0 43.85444
Tennessee 42.27 48.05425
Idaho 40.0 41.93176
Georgia 47.84 47.95826
"North Carolina" 43.77 44.08278
Illinois 33.0 35.40455
Nevada 47.0 47.041
Oregon 33.0 36.09922
Pennsylvania 45.87 45.94577
Washington 31.0 34.14846
U.S. 39.0 41.63627
Washington 38.4 39.0817
Nebraska 55.7 56.2346
"South Carolina" 38.15 43.90281
Pennsylvania 40.0 41.73648
Minnesota 37.43 37.50986
U.S. 38.0 40.49783
Connecticut 31.84 37.66595
Arizona 42.1 42.25814
Kentucky 41.4 47.18607
Massachusetts 26.81 27.22281
Wisconsin 34.6 38.36953
"New Jersey" 39.8 40.03904
Colorado 43.0 43.15017
Wisconsin 41.62 41.97566
Florida 46.0 46.01992
Kansas 30.88 36.68859
Ohio 42.0 44.29715
Minnesota 43.0 42.45999
Colorado 38.0 39.96622
"North Carolina" 45.0 47.12421
Washington 37.44 37.81142
Colorado 33.0 36.87723
"New Hampshire" 38.0 41.28188
U.S. 43.0 44.20577
U.S. 45.0 44.51327
Virginia 33.0 37.05336
Arizona 42.0 42.92028
"New Hampshire" 37.0 39.80312
U.S. 37.0 40.29195
Arizona 42.0 44.46501
Nevada 43.0 45.30632
Virginia 43.0 42.97333
Ohio 42.0 44.92164
California 33.0 34.95387
Oregon 37.69 38.31869
Colorado 43.35 42.68517
Delaware 30.0 32.24101
Tennessee 42.95 43.43965
Ohio 46.0 46.03379
Michigan 37.11 36.65316
Maryland 33.56 34.1658
Montana 43.0 47.88833
Louisiana 49.58 55.33328
U.S. 41.0 43.36082
Ohio 44.0 46.2409
Wisconsin 41.0 41.11124
U.S. 50.0 49.68874
Pennsylvania 42.0 41.95876
"North Carolina" 47.0 46.89789
Tennessee 50.0 51.35151
Indiana 53.54 52.90313
Oklahoma 47.83 53.60847
Nevada 38.2 40.66595
Massachusetts 26.0 29.44643
U.S. 36.0 38.44775
Kentucky 56.14 56.93784
Alabama 51.28 52.16197
Alaska 36.1 40.0038
Mississippi 55.37 61.10508
"New Mexico" 31.99 37.79945
U.S. 44.0 43.76442
Utah 22.6 33.26431
Missouri 47.61 47.82725
Nebraska 41.53 47.33427
Louisiana 52.56 53.40933
Massachusetts 34.0 36.13156
Connecticut 36.25 37.28587
Michigan 32.0 35.45074
U.S. 38.0 41.63618
Ohio 43.0 44.45974
Nevada 33.32 39.11587
Arkansas 36.09 41.8746
Oklahoma 52.33 52.06385
Iowa 41.78 42.29531
U.S. 39.0 40.73125
Florida 42.0 43.70263
"Maine CD-2" 40.0 40.18884
Pennsylvania 40.0 41.56562
"North Carolina" 44.0 45.51527
Florida 46.0 47.61621
Ohio 44.0 45.62769
U.S. 42.0 41.98665
"South Carolina" 42.0 43.76427
Florida 38.0 42.17819
Montana 39.32 45.14161
Maine 39.0 40.86559
"North Carolina" 42.0 42.50575
Kansas 51.94 51.49335
Maryland 25.0 27.73372
Florida 41.0 42.39057
Minnesota 39.0 40.14496
"North Carolina" 39.0 42.28323
Pennsylvania 41.0 42.31003
Florida 47.0 47.22797
"New Hampshire" 35.0 38.34218
Pennsylvania 40.0 41.66836
Arkansas 53.17 53.79911
"North Carolina" 41.0 44.3013
"South Carolina" 48.62 49.36246
Ohio 47.0 48.40883
Idaho 44.25 50.06158
Kansas 47.0 48.8012
Nevada 43.0 43.65258
Nevada 40.11 40.26785
U.S. 40.0 40.17988
Utah 30.0 32.23303
Georgia 44.0 46.24555
