state,rawpoll_trump,adjpoll_trump,Label
Alabama,54.3590625,57.94414520833333,ThreeSup
Alaska,38.5848275862069,43.71303505747127,TwoSup
Arizona,40.719,43.76853488888889,TwoSup
Arkansas,47.02823529411765,50.6543887254902,ThreeSup
California,29.11672727272727,32.29480078787879,TwoSup
Colorado,36.26155172413793,39.18126425287356,TwoSup
Connecticut,33.61,37.63679515151515,TwoSup
Delaware,31.086,35.15218522222222,TwoSup
District of Columbia,15.40055555555556,21.73849312962963,OneSup
Florida,42.44275,45.26534319444444,TwoSup
Georgia,44.54737704918033,47.3469537704918,TwoSup
Hawaii,26.41,32.4808547368421,TwoSup
Idaho,46.26315789473684,49.56273271929825,TwoSup
Illinois,31.78938775510204,34.98719653061224,TwoSup
Indiana,44.25348837209302,47.36160527131783,TwoSup
Iowa,39.36267857142857,42.76616369047619,TwoSup
Kansas,41.7951282051282,45.09263247863247,TwoSup
Kentucky,46.64270270270271,51.01362837837838,ThreeSup
Louisiana,50.3548717948718,53.75780641025641,ThreeSup
Maine,33.92790697674418,37.57873930232558,TwoSup
Maine CD-1,32.77272727272727,35.14408,TwoSup
Maine CD-2,41.04285714285714,42.80739,TwoSup
Maryland,27.54611111111111,31.23379277777778,TwoSup
Massachusetts,27.12358974358974,31.12641572649573,TwoSup
Michigan,36.43238095238095,39.4871146031746,TwoSup
Minnesota,33.09675675675675,36.53265288288289,TwoSup
Mississippi,51.00843750000001,54.66611729166667,ThreeSup
Missouri,43.29196078431372,45.89988954248366,TwoSup
Montana,43.86709677419355,47.36343096774193,TwoSup
Nebraska,45.49451612903226,49.14341903225806,TwoSup
Nebraska CD-1,53.0,50.59418666666667,ThreeSup
Nebraska CD-2,46.5,47.45114333333333,TwoSup
Nebraska CD-3,65.0,62.56776333333334,ThreeSup
Nevada,40.70768115942029,43.39574937198068,TwoSup
New Hampshire,36.98195121951219,39.6742349593496,TwoSup
New Jersey,33.82857142857143,37.80787388888889,TwoSup
New Mexico,32.70916666666667,35.48556833333333,TwoSup
New York,31.1476,34.8399136,TwoSup
North Carolina,42.17821782178218,44.61508775577558,TwoSup
North Dakota,47.28454545454545,52.62600227272728,ThreeSup
Ohio,40.92010989010989,43.71157234432234,TwoSup
Oklahoma,49.00852941176471,52.33474382352941,ThreeSup
Oregon,33.00512195121951,36.81059455284553,TwoSup
Pennsylvania,39.68021052631579,42.39855775438597,TwoSup
Rhode Island,29.82095238095238,35.65385142857143,TwoSup
South Carolina,45.04,48.36742538461539,TwoSup
South Dakota,43.36407407407407,47.50411172839507,TwoSup
Tennessee,46.27371428571428,50.17701580952381,ThreeSup
Texas,44.58222222222223,47.74079,TwoSup
U.S.,39.42538164251208,41.04682024798711,TwoSup
Utah,34.4314,37.60304166666667,TwoSup
Vermont,20.14269230769231,25.43071346153846,TwoSup
Virginia,36.55633802816902,39.54615521126761,TwoSup
Washington,31.68026315789474,35.33918745614035,TwoSup
West Virginia,51.78583333333333,55.56468740740741,ThreeSup
Wisconsin,36.30460317460317,39.15731619047619,TwoSup
Wyoming,51.81,57.45031809523809,ThreeSup
