state rawpoll_johnson adjpoll_johnson
U.S. 6.18 5.675099
U.S. 3.0 3.401513
Virginia 6.0 6.401513
Florida 2.0 1.77773
U.S. 6.0 3.61832
U.S. 7.0 6.114222
U.S. 4.2 3.15359
Pennsylvania 3.0 3.466432
U.S. 6.3 6.420006
U.S. 5.0 4.220173
Florida 4.0 2.676897
California 5.0 3.17051
U.S. 7.0 5.823322
"North Carolina" 8.0 6.499082
Florida 5.0 3.499082
U.S. 6.0 5.044833
Florida 4.0 3.054228
Pennsylvania 5.0 6.359501
Pennsylvania 6.0 4.421316
U.S. 8.0 6.27284
Colorado 7.0 8.359501
U.S. 4.0 4.964521
Arizona 4.0 5.359501
U.S. 2.0 2.193952
"North Carolina" 3.0 4.359501
U.S. 5.0 5.160502
U.S. 6.0 3.333669
Missouri 4.0 4.308866
"New Hampshire" 10.0 7.959227
Pennsylvania 3.0 4.065788
Ohio 3.0 4.065788
"North Carolina" 2.0 3.065788
Wisconsin 4.0 5.065788
"North Carolina" 8.0 6.137042
"New Mexico" 9.0 9.695195
Arizona 5.0 4.172206
Virginia 3.0 4.065788
Iowa 4.0 2.92435
Virginia 3.0 2.953504
Minnesota 5.0 5.062005
U.S. 7.0 5.325565
Texas 5.0 5.680246
U.S. 3.9 4.31719
Florida 6.0 4.507492
Florida 2.0 3.065788
Maine 5.0 4.953504
Georgia 7.0 4.46675
Nevada 10.0 7.959227
"New Hampshire" 6.0 6.023805
Texas 2.96 3.286923
Pennsylvania 4.0 4.154008
California 7.0 4.46675
Florida 1.0 1.193952
Colorado 4.0 5.065788
U.S. 5.0 5.083591
Florida 5.0 2.46675
Georgia 9.0 6.488977
Florida 3.0 3.680246
Georgia 3.0 2.624004
U.S. 7.0 5.309163
"North Carolina" 1.0 1.193952
Virginia 4.0 2.92435
Georgia 8.0 6.92435
U.S. 3.0 1.689483
Ohio 6.0 5.675094
Vermont 5.0 4.715528
Texas 8.0 5.46675
Pennsylvania 6.0 3.46675
"North Carolina" 4.0 4.205119
"North Carolina" 5.0 3.92435
Virginia 8.0 5.46675
"South Carolina" 6.0 3.46675
"New York" 5.0 2.46675
Ohio 9.0 6.46675
Nevada 4.0 5.065788
Maine 5.0 4.353873
Michigan 8.0 5.46675
U.S. 5.0 3.080554
Virginia 5.0 2.96151
"North Carolina" 7.0 4.46675
Missouri 3.0 2.779283
Colorado 11.0 8.466749
U.S. 5.0 3.919255
