state,rawpoll_johnson,adjpoll_johnson,Label
Alabama,5.646315789473685,2.441715684210526,OneSup
Alaska,11.47678571428571,8.533719488095239,OneSup
Arizona,7.682790697674419,5.01547282248062,OneSup
Arkansas,6.834782608695652,3.765166573913044,OneSup
California,6.766969696969697,3.567648886868687,OneSup
Colorado,10.10886363636364,7.336694477272728,OneSup
Connecticut,6.965238095238095,3.684909058730159,OneSup
Delaware,8.031904761904762,4.793423285714286,OneSup
District of Columbia,5.287777777777778,2.287184857407407,OneSup
Florida,5.284494382022472,2.715234135955056,OneSup
Georgia,7.049318181818181,4.220698765151515,OneSup
Hawaii,7.482105263157895,4.277504894736842,OneSup
Idaho,10.56208333333333,7.610227097222223,OneSup
Illinois,6.920588235294117,4.059608533333334,OneSup
Indiana,9.424444444444445,6.568513098765433,OneSup
Iowa,8.703157894736842,5.466236938596492,OneSup
Kansas,9.325000000000001,6.308847038461539,OneSup
Kentucky,6.684347826086957,3.620631702898551,OneSup
Louisiana,5.5804,2.676986505333333,OneSup
Maine,8.509333333333334,5.548808603333333,OneSup
Maine CD-1,8.011111111111111,5.568420111111111,OneSup
Maine CD-2,9.355555555555556,6.912864333333333,OneSup
Maryland,6.766818181818182,3.597337090909091,OneSup
Massachusetts,7.264615384615384,4.275959564102564,OneSup
Michigan,7.725,4.826782180434782,OneSup
Minnesota,8.443750000000001,5.53941475,OneSup
Mississippi,4.6515,1.434051113333333,OneSup
Missouri,7.547575757575758,4.995849111111111,OneSup
Montana,9.305714285714286,6.241790476190476,OneSup
Nebraska,8.1885,4.997262706666667,OneSup
Nebraska CD-2,8.0,6.390245666666666,OneSup
Nevada,8.232830188679245,5.816433119496855,OneSup
New Hampshire,9.310208333333334,6.737986423611111,OneSup
New Jersey,5.59375,2.304602345833333,OneSup
New Mexico,16.57555555555555,13.67454737037037,OneSup
New York,6.016153846153846,2.63179452948718,OneSup
North Carolina,6.532784810126582,4.067059970886076,OneSup
North Dakota,10.9275,7.751914316666667,OneSup
Ohio,7.428805970149254,4.770022029850746,OneSup
Oklahoma,9.845217391304349,6.799031913043478,OneSup
Oregon,7.556296296296296,4.480470061728395,OneSup
Pennsylvania,6.645070422535212,4.036360957746479,OneSup
Rhode Island,7.377142857142857,4.180860796825397,OneSup
South Carolina,6.458,3.242939476,OneSup
South Dakota,9.20409090909091,6.355085666666667,OneSup
Tennessee,7.013913043478261,3.839642289855072,OneSup
Texas,7.1865625,4.508694022916667,OneSup
U.S.,7.252535211267606,4.242567857545271,OneSup
Utah,10.42857142857143,7.516009038095238,OneSup
Vermont,8.328000000000001,5.394967466666667,OneSup
Virginia,8.131764705882354,5.257890647058823,OneSup
Washington,8.863913043478261,5.838161985507246,OneSup
West Virginia,6.956190476190477,3.698514671428571,OneSup
Wisconsin,7.669230769230769,4.861748418803419,OneSup
Wyoming,9.994285714285715,6.861682973015873,OneSup
