ID "State Code" "County Code" "Site Num" Address State County City "Date Local" "O3 Units" "O3 Mean" "O3 1st Max Value" "O3 1st Max Hour" "O3 AQI"
15225 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-01 "Parts per million" 0.011875 0.024 0 20
15226 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-01 "Parts per million" 0.011875 0.024 0 20
15227 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-01 "Parts per million" 0.011875 0.024 0 20
15228 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-01 "Parts per million" 0.011875 0.024 0 20
15229 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-02 "Parts per million" 0.014542 0.026 6 22
15230 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-02 "Parts per million" 0.014542 0.026 6 22
15231 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-02 "Parts per million" 0.014542 0.026 6 22
15232 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-02 "Parts per million" 0.014542 0.026 6 22
15233 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-03 "Parts per million" 0.005167 0.008 7 7
15234 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-03 "Parts per million" 0.005167 0.008 7 7
15235 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-03 "Parts per million" 0.005167 0.008 7 7
15236 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-03 "Parts per million" 0.005167 0.008 7 7
15237 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-04 "Parts per million" 0.003917 0.006 8 5
15238 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-04 "Parts per million" 0.003917 0.006 8 5
15239 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-04 "Parts per million" 0.003917 0.006 8 5
15240 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-04 "Parts per million" 0.003917 0.006 8 5
15241 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-05 "Parts per million" 0.002542 0.003 0 3
15242 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-05 "Parts per million" 0.002542 0.003 0 3
15243 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-05 "Parts per million" 0.002542 0.003 0 3
15244 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-05 "Parts per million" 0.002542 0.003 0 3
15245 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-06 "Parts per million" 0.013875 0.02 22 17
15246 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-06 "Parts per million" 0.013875 0.02 22 17
15247 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-06 "Parts per million" 0.013875 0.02 22 17
15248 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-06 "Parts per million" 0.013875 0.02 22 17
15249 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-07 "Parts per million" 0.020542 0.025 6 21
15250 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-07 "Parts per million" 0.020542 0.025 6 21
15251 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-07 "Parts per million" 0.020542 0.025 6 21
15252 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-07 "Parts per million" 0.020542 0.025 6 21
15253 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-08 "Parts per million" 0.013208 0.021 0 18
15254 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-08 "Parts per million" 0.013208 0.021 0 18
