Id,MSZoning,LotArea,LotShape,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageArea,GarageCond,YrSold,SalePrice
1,RL,8450,Reg,5,2003,Gable,PConc,856.0,GasA,SBrkr,1710,Gd,8,Attchd,2003.0,548.0,TA,2008,208500.0
2,RL,9600,Reg,8,1976,Gable,CBlock,1262.0,GasA,SBrkr,1262,TA,6,Attchd,1976.0,460.0,TA,2007,181500.0
3,RL,11250,IR1,5,2001,Gable,PConc,920.0,GasA,SBrkr,1786,Gd,6,Attchd,2001.0,608.0,TA,2008,223500.0
4,RL,9550,IR1,5,1915,Gable,BrkTil,756.0,GasA,SBrkr,1717,Gd,7,Detchd,1998.0,642.0,TA,2006,140000.0
5,RL,14260,IR1,5,2000,Gable,PConc,1145.0,GasA,SBrkr,2198,Gd,9,Attchd,2000.0,836.0,TA,2008,250000.0
6,RL,14115,IR1,5,1993,Gable,Wood,796.0,GasA,SBrkr,1362,TA,5,Attchd,1993.0,480.0,TA,2009,143000.0
7,RL,10084,Reg,5,2004,Gable,PConc,1686.0,GasA,SBrkr,1694,Gd,7,Attchd,2004.0,636.0,TA,2007,307000.0
8,RL,10382,IR1,6,1973,Gable,CBlock,1107.0,GasA,SBrkr,2090,TA,7,Attchd,1973.0,484.0,TA,2009,200000.0
9,RM,6120,Reg,5,1931,Gable,BrkTil,952.0,GasA,FuseF,1774,TA,8,Detchd,1931.0,468.0,TA,2008,129900.0
10,RL,7420,Reg,6,1939,Gable,BrkTil,991.0,GasA,SBrkr,1077,TA,5,Attchd,1939.0,205.0,TA,2008,118000.0
11,RL,11200,Reg,5,1965,Hip,CBlock,1040.0,GasA,SBrkr,1040,TA,5,Detchd,1965.0,384.0,TA,2008,129500.0
12,RL,11924,IR1,5,2005,Hip,PConc,1175.0,GasA,SBrkr,2324,Ex,11,BuiltIn,2005.0,736.0,TA,2006,345000.0
13,RL,12968,IR2,6,1962,Hip,CBlock,912.0,GasA,SBrkr,912,TA,4,Detchd,1962.0,352.0,TA,2008,144000.0
