Id,MSZoning,LotArea,YrSold,SalePrice
1,RL,8450,2008,208500.0
2,RL,9600,2007,181500.0
3,RL,11250,2008,223500.0
4,RL,9550,2006,140000.0
5,RL,14260,2008,250000.0
6,RL,14115,2009,143000.0
7,RL,10084,2007,307000.0
8,RL,10382,2009,200000.0
9,RM,6120,2008,129900.0
10,RL,7420,2008,118000.0
11,RL,11200,2008,129500.0
12,RL,11924,2006,345000.0
13,RL,12968,2008,144000.0
14,RL,10652,2007,279500.0
15,RL,10920,2008,157000.0
16,RM,6120,2007,132000.0
17,RL,11241,2010,149000.0
18,RL,10791,2006,90000.0
19,RL,13695,2008,159000.0
20,RL,7560,2009,139000.0
21,RL,14215,2006,325300.0
22,RM,7449,2007,139400.0
23,RL,9742,2008,230000.0
24,RM,4224,2007,129900.0
25,RL,8246,2010,154000.0
26,RL,14230,2009,256300.0
27,RL,7200,2010,134800.0
28,RL,11478,2010,306000.0
29,RL,16321,2006,207500.0
30,RM,6324,2008,68500.0
31,C (all),8500,2008,40000.0
32,RL,8544,2008,149350.0
33,RL,11049,2008,179900.0
34,RL,10552,2010,165500.0
35,RL,7313,2007,277500.0
36,RL,13418,2006,309000.0
37,RL,10859,2009,145000.0
38,RL,8532,2009,153000.0
39,RL,7922,2010,109000.0
40,RL,6040,2008,82000.0
41,RL,8658,2006,160000.0
42,RL,16905,2007,170000.0
43,RL,9180,2007,144000.0
44,RL,9200,2008,130250.0
45,RL,7945,2006,141000.0
46,RL,7658,2010,319900.0
47,RL,12822,2009,239686.0
48,FV,11096,2007,249700.0
49,RM,4456,2009,113000.0
50,RL,7742,2007,127000.0
51,RL,13869,2007,177000.0
52,RM,6240,2006,114500.0
53,RM,8472,2010,110000.0
54,RL,50271,2006,385000.0
55,RL,7134,2007,130000.0
56,RL,10175,2008,180500.0
57,FV,2645,2009,172500.0
58,RL,11645,2006,196500.0
59,RL,13682,2006,438780.0
60,RL,7200,2008,124900.0
61,RL,13072,2006,158000.0
62,RM,7200,2007,101000.0
63,RL,6442,2007,202500.0
64,RM,10300,2010,140000.0
65,RL,9375,2009,219500.0
66,RL,9591,2007,317000.0
67,RL,19900,2010,180000.0
68,RL,10665,2007,226000.0
69,RM,4608,2010,80000.0
70,RL,15593,2006,225000.0
71,RL,13651,2007,244000.0
72,RL,7599,2007,129500.0
73,RL,10141,2009,185000.0
74,RL,10200,2010,144900.0
75,RM,5790,2010,107400.0
76,RM,1596,2009,91000.0
77,RL,8475,2008,135750.0
78,RM,8635,2008,127000.0
79,RL,10778,2010,136500.0
80,RM,10440,2009,110000.0
81,RL,13000,2009,193500.0
82,RM,4500,2006,153500.0
83,RL,10206,2008,245000.0
84,RL,8892,2007,126500.0
85,RL,8530,2009,168500.0
86,RL,16059,2006,260000.0
87,RL,11911,2009,174000.0
88,FV,3951,2009,164500.0
89,C (all),8470,2009,85000.0
90,RL,8070,2007,123600.0
91,RL,7200,2006,109900.0
92,RL,8500,2006,98600.0
93,RL,13360,2009,163500.0
94,C (all),7200,2007,133900.0
95,RL,9337,2007,204750.0
96,RL,9765,2009,185000.0
97,RL,10264,2006,214000.0
98,RL,10921,2007,94750.0
99,RL,10625,2010,83000.0
100,RL,9320,2010,128950.0
101,RL,10603,2010,205000.0
102,RL,9206,2010,178000.0
103,RL,7018,2009,118964.0
104,RL,10402,2010,198900.0
105,RM,7758,2007,169500.0
106,FV,9375,2008,250000.0
107,RM,10800,2007,100000.0
108,RM,6000,2008,115000.0
109,RM,8500,2007,115000.0
110,RL,11751,2010,190000.0
111,RL,9525,2006,136900.0
112,RL,7750,2010,180000.0
113,RL,9965,2007,383970.0
114,RL,21000,2007,217000.0
115,RL,7259,2007,259500.0
116,FV,3230,2007,176000.0
117,RL,11616,2009,139000.0
118,RL,8536,2007,155000.0
119,RL,12376,2010,320000.0
120,RL,8461,2006,163990.0
121,RL,21453,2006,180000.0
122,RM,6060,2007,100000.0
123,RL,9464,2008,136000.0
124,RL,7892,2008,153900.0
125,RL,17043,2009,181000.0
126,RM,6780,2006,84500.0
127,RL,4928,2007,128000.0
128,RM,4388,2007,87000.0
129,RL,7590,2006,155000.0
130,RL,8973,2006,150000.0
131,RL,14200,2006,226000.0
132,RL,12224,2009,244000.0
133,RL,7388,2007,150750.0
134,RL,6853,2009,220000.0
135,RL,10335,2006,180000.0
136,RL,10400,2008,174000.0
137,RL,10355,2007,143000.0
138,RL,11070,2006,171000.0
139,RL,9066,2008,230000.0
140,RL,15426,2009,231500.0
141,RL,10500,2010,115000.0
142,RL,11645,2006,260000.0
143,RL,8520,2010,166000.0
144,RL,10335,2009,204000.0
145,RM,9100,2006,125000.0
146,RM,2522,2006,130000.0
147,RM,6120,2009,105000.0
148,RL,9505,2010,222500.0
149,RL,7500,2008,141000.0
150,RM,6240,2006,115000.0
151,RL,10356,2007,122000.0
152,RL,13891,2008,372402.0
153,RL,14803,2006,190000.0
154,RL,13500,2008,235000.0
155,RM,11340,2006,125000.0
156,RL,9600,2008,79000.0
157,RL,7200,2006,109500.0
158,RL,12003,2010,269500.0
159,FV,12552,2010,254900.0
160,RL,19378,2006,320000.0
161,RL,11120,2008,162500.0
162,RL,13688,2008,412500.0
163,RL,12182,2010,220000.0
164,RL,5500,2007,103200.0
165,RM,5400,2007,152000.0
166,RL,10106,2008,127500.0
167,RL,10708,2009,190000.0
168,RL,10562,2007,325624.0
169,RL,8244,2007,183500.0
170,RL,16669,2006,228000.0
171,RM,12358,2007,128500.0
172,RL,31770,2010,215000.0
173,RL,5306,2006,239000.0
174,RL,10197,2008,163000.0
175,RL,12416,2008,184000.0
176,RL,12615,2007,243000.0
