Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/7/2007,0:00:00,2.744,0.35,239.09,11.6,0,1,18
1/7/2007,0:01:00,2.672,0.354,239.43,11.2,0,2,17
1/7/2007,0:02:00,2.676,0.352,239.49,11.2,0,1,18
1/7/2007,0:03:00,2.68,0.354,239.8,11.2,0,2,18
1/7/2007,0:04:00,2.55,0.334,239.89,10.6,0,1,17
1/7/2007,0:05:00,2.654,0.252,239.73,11,0,2,18
1/7/2007,0:06:00,2.506,0.254,239.98,10.4,0,1,17
1/7/2007,0:07:00,2.712,0.25,239.67,11.4,0,1,18
1/7/2007,0:08:00,2.824,0.248,239.55,11.8,0,2,18
1/7/2007,0:09:00,2.794,0.248,239.63,11.6,0,1,17
1/7/2007,0:10:00,2.526,0.252,239.91,10.6,0,1,18
1/7/2007,0:11:00,2.666,0.248,239.46,11.2,0,2,17
1/7/2007,0:12:00,2.468,0.242,237.83,10.4,0,1,18
1/7/2007,0:13:00,2.454,0.238,237.09,10.4,0,2,17
1/7/2007,0:14:00,2.514,0.236,237.03,10.6,0,1,17
1/7/2007,0:15:00,2.818,0.23,237.18,11.8,0,1,17
1/7/2007,0:16:00,2.802,0.23,237.33,11.8,0,1,18
1/7/2007,0:17:00,2.798,0.23,237.18,11.8,0,2,17
1/7/2007,0:18:00,2.788,0.226,236.89,11.8,0,1,17
1/7/2007,0:19:00,2.668,0.23,237.06,11.2,0,1,17
1/7/2007,0:20:00,2.792,0.228,236.8,11.8,0,1,17
1/7/2007,0:21:00,2.65,0.23,236.96,11.2,0,2,18
1/7/2007,0:22:00,2.624,0.23,237.14,11,0,1,17
1/7/2007,0:23:00,2.626,0.23,237.35,11,0,1,17
1/7/2007,0:24:00,2.65,0.132,237.43,11.2,0,1,17
1/7/2007,0:25:00,2.508,0,237.92,10.4,0,1,18
1/7/2007,0:26:00,2.574,0.182,237.88,10.8,0,2,17
1/7/2007,0:27:00,2.682,0.18,237.58,11.2,0,1,17
1/7/2007,0:28:00,2.622,0.182,237.7,11,0,1,18
1/7/2007,0:29:00,2.538,0.188,238.7,10.6,0,1,17
1/7/2007,0:30:00,2.524,0.184,238.05,10.6,0,1,18
1/7/2007,0:31:00,2.506,0.18,237.08,10.6,0,1,17
1/7/2007,0:32:00,2.472,0.172,234.97,10.4,0,2,17
1/7/2007,0:33:00,2.484,0.178,234.96,10.6,0,1,17
1/7/2007,0:34:00,2.548,0.27,234.98,10.8,0,1,17
1/7/2007,0:35:00,2.55,0.27,235.52,10.8,0,1,17
1/7/2007,0:36:00,2.564,0.268,235.22,10.8,0,1,17
1/7/2007,0:37:00,2.534,0.266,234.69,10.8,0,1,16
1/7/2007,0:38:00,2.53,0.256,234.62,10.8,0,1,17
1/7/2007,0:39:00,2.53,0.264,234.57,10.8,0,2,17
1/7/2007,0:40:00,2.696,0.266,234.8,11.4,0,1,17
1/7/2007,0:41:00,2.548,0.274,235.95,10.8,0,1,17
1/7/2007,0:42:00,2.546,0.272,235.8,10.8,0,1,17
1/7/2007,0:43:00,2.722,0.324,235.22,11.6,0,1,17
1/7/2007,0:44:00,2.72,0.306,235.25,11.6,0,1,17
1/7/2007,0:45:00,2.64,0.268,235.73,11.2,0,1,17
1/7/2007,0:46:00,2.66,0.146,235.66,11.2,0,2,17
1/7/2007,0:47:00,2.384,0.15,235.72,10,0,1,17
1/7/2007,0:48:00,2.54,0.148,235.54,10.8,0,1,17
1/7/2007,0:49:00,2.544,0.142,235.53,10.8,0,1,17
1/7/2007,0:50:00,2.39,0.052,236.21,10,0,1,17
1/7/2007,0:51:00,2.224,0.054,236.31,9.4,0,1,17
1/7/2007,0:52:00,1.542,0.054,236.86,6.4,0,1,18
1/7/2007,0:53:00,1.808,0.048,235.81,7.6,0,2,17
1/7/2007,0:54:00,1.67,0.082,235.13,7,0,1,17
1/7/2007,0:55:00,2.078,0.07,234.82,8.8,1,1,16
1/7/2007,0:56:00,2.082,0.056,234.76,8.8,1,1,17
1/7/2007,0:57:00,1.678,0.056,234.65,7,2,1,17
1/7/2007,0:58:00,1.608,0.056,234.62,6.8,1,1,17
1/7/2007,0:59:00,1.722,0.056,234.92,7.2,1,1,17
1/7/2007,1:00:00,1.686,0.056,235.11,7.2,1,1,17
1/7/2007,1:01:00,1.612,0.058,234.91,6.8,1,2,17
1/7/2007,1:02:00,1.602,0.048,235.38,6.8,2,1,17
