No,year,month,day,hour,pm2.5
406,2010,1,17,21,317.0
408,2010,1,17,23,313.0
411,2010,1,18,2,303.0
412,2010,1,18,3,349.0
413,2010,1,18,4,407.0
414,2010,1,18,5,361.0
428,2010,1,18,19,408.0
429,2010,1,18,20,435.0
430,2010,1,18,21,403.0
431,2010,1,18,22,360.0
432,2010,1,18,23,402.0
433,2010,1,19,0,358.0
434,2010,1,19,1,383.0
435,2010,1,19,2,332.0
438,2010,1,19,5,302.0
439,2010,1,19,6,330.0
440,2010,1,19,7,367.0
442,2010,1,19,9,331.0
443,2010,1,19,10,323.0
444,2010,1,19,11,339.0
445,2010,1,19,12,301.0
446,2010,1,19,13,310.0
447,2010,1,19,14,305.0
448,2010,1,19,15,313.0
449,2010,1,19,16,336.0
450,2010,1,19,17,357.0
451,2010,1,19,18,485.0
452,2010,1,19,19,426.0
453,2010,1,19,20,403.0
454,2010,1,19,21,374.0
455,2010,1,19,22,333.0
456,2010,1,19,23,343.0
457,2010,1,20,0,364.0
458,2010,1,20,1,389.0
459,2010,1,20,2,368.0
622,2010,1,26,21,340.0
1057,2010,2,14,0,351.0
1058,2010,2,14,1,980.0
1060,2010,2,14,3,599.0
1307,2010,2,24,10,301.0
1308,2010,2,24,11,302.0
1309,2010,2,24,12,311.0
1310,2010,2,24,13,307.0
1311,2010,2,24,14,312.0
1315,2010,2,24,18,353.0
1316,2010,2,24,19,368.0
1317,2010,2,24,20,309.0
1682,2010,3,12,1,314.0
1877,2010,3,20,4,700.0
1880,2010,3,20,7,473.0
1883,2010,3,20,10,381.0
1884,2010,3,20,11,343.0
1930,2010,3,22,9,315.0
1931,2010,3,22,10,784.0
1932,2010,3,22,11,761.0
2110,2010,3,29,21,366.0
2111,2010,3,29,22,317.0
2590,2010,4,18,21,309.0
2591,2010,4,18,22,331.0
2592,2010,4,18,23,351.0
2593,2010,4,19,0,389.0
2594,2010,4,19,1,385.0
2595,2010,4,19,2,382.0
2596,2010,4,19,3,382.0
2597,2010,4,19,4,369.0
2598,2010,4,19,5,343.0
2599,2010,4,19,6,342.0
2600,2010,4,19,7,324.0
2601,2010,4,19,8,307.0
3575,2010,5,29,22,314.0
4714,2010,7,16,9,310.0
4715,2010,7,16,10,304.0
5058,2010,7,30,17,302.0
5075,2010,7,31,10,306.0
5305,2010,8,10,0,336.0
5306,2010,8,10,1,360.0
5502,2010,8,18,5,318.0
5503,2010,8,18,6,326.0
5504,2010,8,18,7,337.0
5505,2010,8,18,8,312.0
5506,2010,8,18,9,311.0
5510,2010,8,18,13,309.0
6148,2010,9,14,3,310.0
6169,2010,9,15,0,321.0
6170,2010,9,15,1,358.0
6171,2010,9,15,2,360.0
6172,2010,9,15,3,411.0
6173,2010,9,15,4,374.0
6174,2010,9,15,5,414.0
6175,2010,9,15,6,349.0
6177,2010,9,15,8,334.0
6178,2010,9,15,9,333.0
6179,2010,9,15,10,455.0
6180,2010,9,15,11,440.0
6181,2010,9,15,12,313.0
6691,2010,10,6,18,320.0
6692,2010,10,6,19,372.0
6693,2010,10,6,20,435.0
6694,2010,10,6,21,503.0
6695,2010,10,6,22,534.0
6696,2010,10,6,23,506.0
6697,2010,10,7,0,505.0
6698,2010,10,7,1,465.0
6699,2010,10,7,2,468.0
6700,2010,10,7,3,449.0
6701,2010,10,7,4,418.0
6702,2010,10,7,5,405.0
6703,2010,10,7,6,374.0
6704,2010,10,7,7,388.0
6705,2010,10,7,8,384.0
6706,2010,10,7,9,384.0
6707,2010,10,7,10,381.0
6708,2010,10,7,11,359.0
6709,2010,10,7,12,369.0
6710,2010,10,7,13,355.0
6711,2010,10,7,14,348.0
6712,2010,10,7,15,344.0
6713,2010,10,7,16,330.0
6717,2010,10,7,20,327.0
6718,2010,10,7,21,365.0
6719,2010,10,7,22,391.0
6720,2010,10,7,23,423.0
6721,2010,10,8,0,429.0
6722,2010,10,8,1,439.0
6723,2010,10,8,2,458.0
6724,2010,10,8,3,436.0
6725,2010,10,8,4,431.0
6726,2010,10,8,5,408.0
6727,2010,10,8,6,387.0
6728,2010,10,8,7,349.0
6729,2010,10,8,8,332.0
6730,2010,10,8,9,348.0
6731,2010,10,8,10,350.0
6732,2010,10,8,11,344.0
6733,2010,10,8,12,369.0
6734,2010,10,8,13,406.0
6735,2010,10,8,14,422.0
6736,2010,10,8,15,310.0
6741,2010,10,8,20,400.0
6742,2010,10,8,21,470.0
6743,2010,10,8,22,459.0
6744,2010,10,8,23,378.0
6750,2010,10,9,5,337.0
6751,2010,10,9,6,329.0
6752,2010,10,9,7,311.0
6753,2010,10,9,8,318.0
6754,2010,10,9,9,335.0
6755,2010,10,9,10,324.0
6756,2010,10,9,11,307.0
6757,2010,10,9,12,323.0
6758,2010,10,9,13,350.0
6759,2010,10,9,14,374.0
6760,2010,10,9,15,396.0
6761,2010,10,9,16,435.0
6762,2010,10,9,17,412.0
6763,2010,10,9,18,449.0
6764,2010,10,9,19,429.0
6765,2010,10,9,20,411.0
6766,2010,10,9,21,430.0
6767,2010,10,9,22,431.0
6768,2010,10,9,23,440.0
6769,2010,10,10,0,434.0
6770,2010,10,10,1,438.0
6771,2010,10,10,2,416.0
6772,2010,10,10,3,417.0
6773,2010,10,10,4,394.0
6774,2010,10,10,5,380.0
6775,2010,10,10,6,376.0
6776,2010,10,10,7,385.0
6777,2010,10,10,8,383.0
6778,2010,10,10,9,397.0
6779,2010,10,10,10,392.0
6780,2010,10,10,11,408.0
6781,2010,10,10,12,428.0
6782,2010,10,10,13,420.0
6783,2010,10,10,14,399.0
6784,2010,10,10,15,391.0
6785,2010,10,10,16,393.0
6786,2010,10,10,17,415.0
6787,2010,10,10,18,395.0
6788,2010,10,10,19,420.0
6789,2010,10,10,20,414.0
6790,2010,10,10,21,394.0
6791,2010,10,10,22,348.0
7431,2010,11,6,14,314.0
7432,2010,11,6,15,307.0
7433,2010,11,6,16,352.0
7434,2010,11,6,17,374.0
7435,2010,11,6,18,366.0
7436,2010,11,6,19,381.0
7437,2010,11,6,20,400.0
7438,2010,11,6,21,419.0
7439,2010,11,6,22,463.0
7440,2010,11,6,23,481.0
7441,2010,11,7,0,466.0
7442,2010,11,7,1,479.0
7443,2010,11,7,2,343.0
7544,2010,11,11,7,302.0
7695,2010,11,17,14,331.0
7696,2010,11,17,15,400.0
7697,2010,11,17,16,472.0
7698,2010,11,17,17,467.0
7699,2010,11,17,18,503.0
7700,2010,11,17,19,503.0
7701,2010,11,17,20,525.0
7702,2010,11,17,21,504.0
7703,2010,11,17,22,502.0
7704,2010,11,17,23,504.0
7705,2010,11,18,0,521.0
7706,2010,11,18,1,446.0
7707,2010,11,18,2,391.0
7708,2010,11,18,3,354.0
7709,2010,11,18,4,350.0
7710,2010,11,18,5,354.0
7711,2010,11,18,6,353.0
7712,2010,11,18,7,362.0
7713,2010,11,18,8,339.0
7714,2010,11,18,9,325.0
7715,2010,11,18,10,336.0
7716,2010,11,18,11,346.0
7718,2010,11,18,13,307.0
7719,2010,11,18,14,304.0
7720,2010,11,18,15,307.0
7721,2010,11,18,16,324.0
7722,2010,11,18,17,361.0
7723,2010,11,18,18,438.0
7724,2010,11,18,19,476.0
7725,2010,11,18,20,503.0
7726,2010,11,18,21,470.0
7727,2010,11,18,22,480.0
7728,2010,11,18,23,482.0
7729,2010,11,19,0,535.0
7730,2010,11,19,1,569.0
7731,2010,11,19,2,562.0
7732,2010,11,19,3,485.0
7733,2010,11,19,4,488.0
7734,2010,11,19,5,470.0
7735,2010,11,19,6,453.0
7736,2010,11,19,7,466.0
7737,2010,11,19,8,466.0
7738,2010,11,19,9,501.0
7739,2010,11,19,10,559.0
7740,2010,11,19,11,557.0
7741,2010,11,19,12,540.0
7742,2010,11,19,13,364.0
7752,2010,11,19,23,371.0
7753,2010,11,20,0,454.0
7754,2010,11,20,1,422.0
7755,2010,11,20,2,389.0
7756,2010,11,20,3,328.0
7772,2010,11,20,19,306.0
7773,2010,11,20,20,353.0
7774,2010,11,20,21,395.0
7775,2010,11,20,22,432.0
7776,2010,11,20,23,438.0
7777,2010,11,21,0,433.0
7778,2010,11,21,1,462.0
7779,2010,11,21,2,439.0
7780,2010,11,21,3,398.0
7781,2010,11,21,4,355.0
7782,2010,11,21,5,316.0
7965,2010,11,28,20,316.0
7966,2010,11,28,21,354.0
7967,2010,11,28,22,360.0
7968,2010,11,28,23,379.0
7969,2010,11,29,0,443.0
7970,2010,11,29,1,418.0
7971,2010,11,29,2,376.0
7972,2010,11,29,3,309.0
8112,2010,12,4,23,309.0
8113,2010,12,5,0,322.0
8423,2010,12,17,22,325.0
8424,2010,12,17,23,379.0
8425,2010,12,18,0,374.0
8426,2010,12,18,1,363.0
8427,2010,12,18,2,319.0
8443,2010,12,18,18,302.0
8444,2010,12,18,19,315.0
